@relation 'brackets'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,2,5,23,3.6307869,3754,0,0,1,0,0,11,0,21,False,1323292816,0
False,2,2,2,0.811278124,4,0,0,1,0,0,23.5,0,22,False,1323292845,0
True,1,1,1,0,1,1,3,1,0.0196875,1,25,51.79365079,2,False,1323294546,0
False,1,1,1,0,2,3,31,1,0.035972222,1,26,28.7992278,3,False,1323295924,0
False,1,1,2,0,5,0,0,1,0,0,0.5,0,1,False,1323301755,0
False,1,2,6,2.183563252,72,2,0.833333333,1,0.26070216,2,4.5,1.958948708,7,False,1323369329,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323370368,0
False,1,1,1,0,25,0,0,1,0,0,8,0,8,False,1323375272,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323375522,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323375891,0
True,1,1,1,0,8,8,25,1,0.055902778,1,9,18.88819876,9,False,1323380102,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323380417,0
False,1,2,3,0.945563623,213,19,27,1,1.152488426,3,28,1.530253578,25,False,1323392391,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323392771,0
True,1,2,2,0.981940787,9,10,123,1,0.049039352,4,30.5,16.29383998,27,False,1323396628,0
False,1,1,1,0,34,35,169,1,0.008032407,3,32,125.4956772,28,False,1323397322,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323397332,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323397405,0
True,1,2,4,1.276611866,170,20,63.25,2,0.975821759,8,1.5,0.961207331,3,True, 1323474670,2
False,1,2,3,1.459147917,10,2,109,2,0.002746914,7,5,162.7977528,6,False,1323475026,0
True,1,6,21,0.458283348,4848,1,3.619047619,2,0.002545745,4,17,19.70534748,27,False,1323479289,0
False,1,7,16,1.839420761,4057,9,1.5625,1,0.071764323,2,17.5,1.870906287,25,False,1323479309,0
False,1,2,3,0,11,6,77.33333333,2,0.041589506,7,29,14.7230339,30,False,1323480238,0
False,1,1,1,0,1,1,76,2,0.02818287,5,31,36.4825462,31,False,1323481724,0
False,1,1,1,0,3,3,53,1,2.735335648,1,26,1.365585847,26,False,1323715642,0
False,1,1,1,0,32,27,97,2,2.822002315,3,32,1.35435832,32,True, 1323718847,2
False,1,1,3,1.045271927,87,87,59.33333333,2,0.916292438,10,34,152.3668757,35,True, 1323719037,2
False,1,1,1,0,0,0,0,2,2.771018519,1,36,1.360878137,36,False,1323719654,0
False,1,1,2,0.82932893,255,1,7.5,3,0.008414352,5,0.5,30.21114168,1,True, 1323720491,2
False,1,3,9,1.539702378,289,111,18.22222222,1,3.057853652,11,31,1.102988392,35,False,1323723589,0
True,1,1,1,0,1,1,54,1,0.039282407,3,36,26.45668827,36,False,1323726983,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323727562,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1323727875,0
