@relation 'broadleaf'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1229715109,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1229715923,0
False,1,7,17,0.844780553,3310,0,0,1,0,0,8,0,16,False,1229716040,0
False,1,3,3,0,14,16,5.333333333,1,10.06725694,3,1,0.694258868,2,False,1230585851,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1230586083,0
False,1,1,2,0.828055725,23,0,0,1,0,0,3.5,0,1,False,1230586097,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1230586255,0
False,1,1,2,0.828055725,23,0,0,1,0,0,5.5,0,1,False,1230586268,0
False,1,2,2,0,0,40,20,1,10.08429398,2,7.5,1.07437308,4,False,1230587323,0
False,1,1,1,0,1,0,0,1,0,0,9,0,2,False,1230587371,0
False,1,1,1,0,0,0,0,1,0,0,10,0,2,False,1230588150,0
False,1,1,1,0,0,0,0,1,0.007881944,1,11,127.8722467,3,False,1230588831,0
False,1,9,11,3.197622532,536,6,0.545454545,2,0.077742003,1,5,1.972153662,10,False,1230659983,0
False,1,4,6,2.212073613,439,0,0,1,0,0,13.5,0,16,False,1230663758,0
False,1,2,5,2.084743693,48,4,17,2,0.032194444,3,19,10.31837791,21,False,1230664619,0
False,1,4,83,0,0,0,0,1,0,0,63,0,104,False,1230670187,0
False,1,2,4,1.884313528,13,0,20.5,2,0.094606481,6,106.5,6.505260582,108,False,1230672793,0
False,1,1,1,0,1,23,56,2,0.175775463,1,109,6.689076184,109,False,1230675170,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231355407,0
False,1,11,25,3.12110604,372,0,0,1,0,0,24,0,24,False,1231355455,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231355542,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231431405,0
False,1,18,120,2.093509399,3519,0,0,1,0,0,169.5,0,119,False,1231431457,0
False,1,1,2,0,0,0,0,1,0.000300926,2,230.5,2493.307692,121,False,1231431483,0
False,1,1,1,0,1,1,236,1,0.034513889,1,0,0,0,False,1231434439,0
False,1,10,12,3.262708369,374,8,27.5,1,0.073686343,6,237.5,3.182092973,133,False,1231447333,0
False,1,2,3,1.556656707,2,5,47.66666667,1,0.15037037,4,245,4.705906184,136,False,1231449741,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1231457577,0
False,1,10,47,3.346322924,306,0,0,1,0,0,60,0,46,False,1231457596,0
False,1,6,6,1.815604732,38,5,22,1,0.131907793,7,249.5,3.358415547,142,False,1231457834,0
False,1,13,20,3.739529367,152,45,10.95,1,1.658020833,9,93.5,1.12885953,66,False,1231775936,0
False,1,1,1,0,1,1,43,1,3.805462963,1,1,1.262780116,1,False,1231776125,0
False,1,5,8,2.621928164,288,1,10.375,2,0.921961806,5,5.5,0.760580454,9,False,1231776464,0
False,1,1,3,1.42498937,13,25,27,2,0.171724537,3,11,4.55867089,12,False,1231791301,0
False,1,1,1,0,5,0,0,1,0,0,13,0,13,False,1231791326,0
False,1,1,1,0,7,11,78,2,0.172175926,4,14,6.808012907,14,False,1231791340,0
False,1,1,1,0,17,8,70,2,0.172789352,1,15,6.787393663,15,False,1231791393,0
False,1,1,1,0,9,6,31,2,0.17287037,1,16,6.784681307,16,False,1231791400,0
False,1,4,7,2.509711902,147,32,39.71428571,2,0.701137566,13,20,1.549432188,23,False,1231870202,0
False,1,5,7,2.069719182,119,37,38,2,0.47525463,14,27,2.781926713,30,False,1231880373,0
False,1,3,4,0.852405179,17,1,70.5,2,2.522355324,5,105.5,1.17303945,3,False,1231884400,0
False,1,6,12,2.744183396,191,14,36.91666667,2,1.538058449,24,36.5,1.469483199,42,False,1231955538,0
False,1,2,2,0.918295834,1,2,30,2,0.06630787,4,43.5,12.3108745,44,False,1231961267,0
False,1,1,1,0,1,0,75,1,6.00587963,3,45,1.166503504,45,False,1231968649,0
False,1,3,7,2.385772843,184,2,20.42857143,3,0.067281746,15,111,4.202510848,10,True, 1231969102,2
False,1,6,6,1.659666665,126,17,45.5,3,0.100873843,17,48.5,4.272049298,51,False,1231971001,0
False,1,1,1,0,13,13,59,3,0.011215278,2,52,90.16408669,52,False,1231971970,0
False,1,1,1,0,1,1,108,3,0.072141204,10,17,14.86170383,0,False,1231977234,0
False,1,1,1,0,9,7,106,2,0.927465278,5,53,2.07820748,53,False,1232035671,0
False,1,1,1,0,13,4,51,2,1.915578704,1,54,1.522035455,54,False,1232035708,0
False,1,1,1,0,2,2,108,3,0.677060185,11,55,2.476973572,55,False,1232035732,0
False,1,1,4,1.855388542,21,15,37.5,3,0.849953704,15,57.5,1.572549265,59,False,1232035756,0
False,1,3,7,2.380429518,189,2,23.85714286,3,0.083397817,23,118,3.526253434,17,False,1232052561,0
False,1,1,1,0,31,0,0,1,0,0,122,0,18,False,1232052576,0
True,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1232061908,0
False,1,11,55,5.181841508,3429,0,0,1,0,0,150,0,54,False,1232061969,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1232062045,0
False,1,4,5,1.76014203,164,0,31,4,0.507858796,14,2,1.187236626,4,True, 1232120529,2
False,1,1,1,0,1,1,35,4,0.005173611,1,5,194.2885906,5,False,1232120976,0
False,1,10,23,3.668519705,169,81,10.82608696,1,2.905621477,19,189,1.038007693,89,False,1232122143,0
False,1,3,4,1.463789454,83,0,38.75,4,0.206678241,19,7.5,26.02350069,9,False,1232122259,0
False,1,3,4,0.957370276,41,12,71.5,4,0.056006944,19,11.5,9.538854122,13,True, 1232126233,2
False,1,1,1,0,3,0,0,1,0,0,18,0,1,False,1232133130,0
