@relation 'camel'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,1,10,42,5.074919239,2295,0,0,1,0,0,20.5,0,41,False,1174301697,0
False,4,20,84,6.074919239,2295,2295,27.32142857,1,0.001944444,42,83.5,13.8299221,83,False,1174302033,0
True,1,5,10,2.875453054,147,46,58.4,1,0.056793981,10,130.5,6.157180704,42,True, 1174306940,1
False,1,3,13,3.074527697,295,114,53.15384615,1,0.047540954,16,142,3.405849093,55,True, 1174310317,2
False,3,3,3,0.182605877,170,2,143.3333333,1,0.064753086,2,150,9.579599619,1,False,1174310425,0
False,1,2,5,1.786391313,103,13,68.4,1,0.010935185,12,154,46.11430991,60,False,1174311498,0
False,2,2,2,0.863120569,12,2,243.5,1,0.041545139,6,157.5,21.16756757,2,False,1174314551,0
False,1,1,1,0,24,19,183,1,0.024328704,5,159,42.10371075,62,True, 1174316653,2
False,2,5,6,2.148828263,105,51,66,1,0.133649691,8,162.5,4.191771861,9,False,1174318528,0
False,1,6,9,1.822585993,477,24,34.55555556,2,0.050904064,10,4,3.733828013,8,True, 1174320828,2
False,1,3,3,1.278291157,58,0,132,1,0.104147377,11,167,5.889808001,70,False,1174321821,0
False,1,5,11,3.099673561,209,144,36.54545455,2,0.07128367,14,14,7.220548454,19,False,1174328769,0
False,1,1,1,0,1,1,25,2,0.038275463,1,0,0,0,False,1174332076,0
False,1,5,7,2.354670961,108,34,61.71428571,2,0.094036045,18,23,6.829023454,26,False,1174332356,0
False,1,1,1,0,26,0,0,1,0,0,27,0,27,False,1174332386,0
False,2,2,2,0.116115075,64,0,157,2,0.107928241,3,0.5,2.816353887,0,False,1174333201,0
False,1,1,1,0,1,1,88,2,0.014675926,4,169,69.13880126,71,False,1174333624,0
False,1,3,7,2.334084971,302,13,27.14285714,1,0.064098876,4,173,3.645297836,16,True, 1174333860,2
False,2,4,18,3.355640787,174,66,57.27777778,2,0.316349666,26,36.5,2.120113922,6,False,1174342966,0
False,1,3,4,1.790545485,172,4,98.5,2,0.119907407,13,47.5,3.056802191,42,True, 1174346015,2
False,1,1,1,0,8,2,259,2,0.003831019,9,50,262.0271903,43,False,1174346346,0
False,3,8,9,2.343937036,337,18,97.44444444,3,0.116268004,26,55,2.293486887,2,False,1174350148,0
False,2,6,13,3.265980624,343,94,66.76923077,3,0.12999911,35,183,4.803059586,21,True, 1174353357,2
False,2,4,5,1.943874298,85,11,89.2,3,0.024518519,17,192,16.77039275,25,True, 1174356005,2
True,1,1,1,0,7,3,72,3,0.002233796,3,195,448.6683938,26,False,1174356198,0
False,1,2,2,0.998635964,15,8,117,3,0.007679398,8,196.5,90.39673978,28,False,1174356765,0
False,1,4,10,2.915390527,346,25,79.9,3,0.20909838,33,202.5,1.518096285,90,True, 1174363299,2
False,2,6,11,2.702795541,199,108,84.27272727,3,0.192548401,45,65,2.544727153,8,True, 1174369464,2
False,1,1,1,0,13,0,68,2,0.306979167,2,1,4.257550051,1,False,1174369489,0
False,2,6,10,2.535716554,23,44,78.9,3,0.327024306,39,75.5,3.062116866,10,False,1174377184,0
False,1,3,3,1.405639062,13,3,111.3333333,3,0.365864198,14,82,2.060020335,68,False,1174379304,0
