@relation 'fabric'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,4,13,58,5.310766856,7849,0,0,1,0,0,28.5,0,3,False,1302724246,0
True,1,1,1,0,6,8,39,1,0.002511574,1,58,399.156682,4,False,1302724463,0
False,2,18,42,4.538675957,1710,0,9.761904762,2,0.013799052,1,20.5,0.06489158,40,False,1302774320,0
False,1,1,1,0,1,0,451,2,0.019837963,2,42,51.4084014,1,False,1302776034,0
False,2,2,2,0.503258335,9,0,318.5,2,0.014155093,4,43.5,39.43071891,2,False,1302776400,0
True,1,1,1,0,10,11,37,1,0.608402778,2,45,2.643647985,3,False,1302777029,0
False,6,12,30,4.235121571,1764,6,25.2,2,0.062059414,10,73.5,2.408336242,6,True, 1302777405,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302777535,0
False,1,1,1,0,2,4,28,2,0.037766204,1,46,27.47870058,42,False,1302777583,0
False,2,2,2,0.92909503,79,40,41.5,2,0.02291088,4,89.5,11.41184643,7,False,1302781364,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302781432,0
False,2,3,3,0.970623179,53,2,217.6666667,2,0.081392747,7,48,7.577320994,4,False,1302787451,0
False,1,5,18,3.763231526,521,64,22.5,2,0.063744213,9,99.5,3.529710568,39,True, 1302788420,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302788429,0
False,3,3,3,0.636924193,47,36,256.3333333,2,0.346516204,3,110,2.111385698,1,False,1302790944,0
True,1,1,1,0,2,2,18,2,0.214803241,1,112,5.655423245,2,False,1302792879,0
False,1,2,3,1.409516441,326,0,0,1,0,0,51,0,2,True, 1302797071,1
False,3,8,16,3.563467403,808,39,41.3125,2,0.013974248,9,60.5,0.963596128,5,False,1302797110,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302797206,0
False,9,16,21,3.054016073,314,180,99.71428571,2,0.199345789,32,123,1.700385814,8,True, 1302809223,1
False,1,1,1,0,3,0,189,2,0.189606481,1,0,0,0,False,1302813492,0
False,1,3,8,2.466945372,16,11,45.125,2,0.199583333,8,4.5,2.702206979,8,False,1302814354,0
False,1,1,2,0.89049164,21,5,53.5,2,0.681487269,4,134.5,2.088673343,5,False,1302850792,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302850801,0
False,1,1,1,0,76,7,34,2,0.051967593,3,69,20.24276169,46,False,1302855282,0
False,5,6,7,1.931244982,73,8,157.1428571,2,0.387425595,25,139,1.778398397,9,False,1302855952,0
False,1,2,2,0.721928095,3,2,67,2,0.50244213,6,70.5,18.14496858,48,False,1302858547,0
False,1,1,1,0,8,0,42,2,0.977638889,1,72,2.022872567,49,False,1302858788,0
True,1,2,2,0.117594666,56,70,159.5,2,0.022164352,8,73.5,25.2406695,51,False,1302859285,0
False,1,1,1,0,35,10,107,2,0.051782407,6,75,20.31157801,52,False,1302863021,0
True,1,1,1,0,46,0,189,2,1.031099537,1,76,1.969838473,53,False,1302863407,0
True,1,1,1,0,13,0,255,2,0.053506944,7,77,19.68916288,54,False,1302863908,0
True,1,1,1,0,1,1,26,2,1.000115741,2,78,1.999884273,55,False,1302863993,0
False,1,2,3,1.435520504,4,5,58,2,0.796682099,5,80,1.699287375,58,False,1302871475,0
False,1,2,3,0,1,1,18.33333333,3,0.792399691,2,1,1.087329795,2,False,1302877015,0
False,1,1,1,0,1,4,28,2,0.224675926,2,82,5.450855141,59,False,1302877959,0
False,2,2,2,0.41381685,75,9,241,3,0.129982639,9,3.5,4.846667557,0,False,1302878413,0
False,1,3,5,1.583491824,389,0,0,1,0,0,7,0,4,False,1302879600,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1302879616,0
False,3,8,8,2.70553045,752,5,67.625,3,0.022999132,10,13.5,0.804373467,1,False,1302894310,0
False,1,4,4,1.645178629,60,111,132.25,3,1.064895833,4,19.5,1.489093221,9,False,1302986317,0
False,1,3,4,1.013162042,270,0,14.75,1,0.308917824,1,23.5,1.809276709,8,True, 1302986362,2
False,1,2,8,2.685164993,217,306,65.875,3,1.527238137,11,29.5,1.174004896,7,False,1302986419,0
False,1,1,1,0,1,1,165,3,0.007962963,2,34,126.5813953,10,False,1302987005,0
False,1,1,1,0,9,2,165,3,0.011759259,3,35,86.03937008,11,False,1302988021,0
True,1,1,1,0,6,12,172,3,1.729143519,4,36,1.578320995,12,False,1303137419,0
True,2,11,18,3.261988955,1419,0,31.44444444,3,0.163735854,11,45.5,0.074405549,2,False,1303148952,0
False,2,9,20,3.927080761,1505,0,28.55,3,2.83565E-05,12,64.5,88.21326531,3,True, 1303149001,1
False,2,9,31,4.231818682,6265,0,18.4516129,3,0.029035245,13,158,0.068096671,10,True, 1303226769,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1303226804,0
False,1,7,31,3.493109034,1033,554,181.2903226,3,0.531156661,25,189,1.210664455,60,True, 1303283675,2
True,1,1,1,0,4,4,128,4,-2.35525463,4,277,0.575417457,24,False,1303290205,0
True,1,1,1,0,4,4,128,1,6.550451389,1,205,1.152661235,20,False,1303290205,0
False,1,1,1,0,3,2,458,3,0.093275463,2,206,11.72093312,61,False,1303291734,0
True,1,3,3,1.233513731,46,17,223.6666667,3,0.295397377,6,208,7.256674596,64,False,1303292915,0
False,1,8,11,2.612940141,122,147,247.6363636,3,0.343983586,19,215,1.973607025,75,False,1303307758,0
False,2,6,11,2.830063834,588,121,126,3,0.183873106,27,226,7.811021171,11,True, 1303310313,2
True,1,1,1,0,6,15,127,3,0.002037037,1,232,491.9090909,86,False,1303310489,0
False,2,9,31,4.231818682,6265,0,18.4516129,3,0.029035245,13,158,0.068096671,10,True,1303313169,3
True,2,2,2,1,4,4,346,3,0.125092593,20,75.5,6.995558845,4,False,1303321121,0
False,1,1,1,0,7,7,171,3,0.155277778,2,77,7.440071556,1,True, 1303321174,2
False,1,2,3,0.820808553,93,57,156,3,0.197318673,10,79,260.8256353,4,True, 1303321233,2
False,1,1,1,0,1,0,118,3,0.013252315,7,233,76.45851528,87,False,1303322378,0
False,1,1,2,0.965201699,82,46,203.5,3,0.340729167,4,81.5,5.786253408,6,False,1303331893,0
False,1,1,2,0.999337504,31,35,221.5,3,0.012662037,6,83.5,60.2321755,8,False,1303332987,0
False,1,1,1,0,1,0,164,3,0.147465278,3,85,7.781257358,9,False,1303333974,0
False,1,1,2,0.527642326,67,0,64.5,3,0.140769676,4,234.5,2.275950668,89,False,1303334638,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1303334658,0
False,1,7,31,3.493109034,1033,554,181.2903226,3,0.531156661,25,189,1.210664455,60,True,1303370075,3
False,2,3,4,1.634539427,173,1,144.75,4,0.180908565,16,1.5,0.595478392,2,True, 1303383643,1
True,1,1,1,0,1,1,165,3,0.680439815,4,236,2.469637693,90,False,1303392764,0
False,1,3,6,1.916177831,169,59,328.3333333,3,0.882908951,20,239.5,1.447125918,96,True, 1303395579,2
False,2,6,11,2.830063834,588,121,126,3,0.183873106,27,226,7.811021171,11,True,1303396713,3
False,1,2,2,0.660962335,29,6,59.5,3,0.442806713,8,86.5,2.12916084,11,False,1303398895,0
True,1,2,3,1.236440502,14,10,368.6666667,3,0.48183642,10,89,1.717428331,14,False,1303398970,0
True,1,1,1,0,25,21,185,3,0.041122685,4,91,25.31747819,15,True, 1303399132,1
False,1,1,1,0,31,3,144,3,0.058136574,2,92,18.20087597,16,False,1303400602,0
False,1,1,1,0,11,12,172,3,0.010914352,3,93,92.62248144,17,False,1303401545,0
False,1,1,2,0.987475008,43,33,224.5,3,0.093576389,10,94.5,9.014842301,19,True, 1303403664,2
False,1,1,1,0,9,6,238,3,0.010671296,7,96,94.70932755,20,False,1303404586,0
False,1,1,1,0,5,5,241,3,0.00119213,8,97,839.8349515,21,False,1303404689,0
False,1,1,1,0,7,7,171,3,0.155277778,2,77,7.440071556,1,True,1303407574,3
False,1,2,3,0.820808553,93,57,156,3,0.197318673,10,79,260.8256353,4,True,1303407633,3
False,4,10,20,3.234202666,495,140,72.4,4,5.438785301,33,13.5,1.0262272,2,False,1303408527,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1303409873,0
True,1,1,1,0,0,1,838,3,0.13068287,4,98,8.652112302,22,False,1303410261,0
False,1,2,3,1.433534172,188,45,211,3,0.098364198,18,100,8.070183508,25,True, 1303411798,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1303411811,0
False,2,7,9,2.470366781,309,19,118.6666667,3,2.381971451,7,106,1.106156389,24,False,1303413583,0
True,2,3,5,1.70628389,26,11,290.4,4,0.222798611,47,245,3.304160047,12,False,1303420303,0
False,3,3,3,0.623426993,119,101,278.3333333,4,2.795339506,30,249,1.124882295,13,False,1303452034,0
False,1,1,1,0,1,5,26,4,0.811319444,2,251,2.23256013,0,False,1303478625,0
False,1,3,6,1.916177831,169,59,328.3333333,3,0.882908951,20,239.5,1.447125918,96,True,1303481979,3
False,2,3,3,1.206908425,17,7,174.3333333,4,5.43683642,6,253,1.084094593,7,False,1303482630,0
False,1,2,5,2.094994039,212,121,114.8,4,0.292773148,18,113,1.283122757,30,True, 1303483542,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1303484378,0
False,1,3,6,1.683732282,246,2,118.8333333,4,0.157590664,25,118.5,7.188173728,36,True, 1303486859,1
