@relation 'jgroups'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,6,37,639,8.421990881,179873,0,281.4913928,1,0,639,319,0,94,False,1063070644,0
False,6,37,639,8.421990881,179873,0,0,1,0,0,319,0,94,False,1063070644,0
False,1,1,15,0,0,0,0,1,0,0,646,0,14,False,1063071102,0
False,1,1,15,0,0,0,0,1,0,15,646,0,14,False,1063071102,0
False,1,1,1,0,7,1,1704,1,0,3,654,0,179,False,1063155353,0
False,1,1,1,0,7,1,1698,1,0.980428241,2,654,2.01996246,179,False,1063155353,0
False,1,1,1,0,44,46,186,1,0,3,655,0,327,False,1063302777,0
False,1,1,1,0,44,46,188,1,2.686724537,2,655,1.37220042,327,False,1063302777,0
False,1,1,1,0,6,1,3294,1,2.688310185,2,656,1.371980884,180,False,1063302914,0
False,1,1,1,0,6,1,3299,1,0,3,656,0,180,False,1063302914,0
False,1,1,1,0,2,2,2646,1,0,3,657,0,328,False,1063303507,0
False,1,1,1,0,2,2,2646,1,2.695173611,2,657,1.371033612,328,False,1063303507,0
False,1,1,1,0,190,1,1151,1,0,3,1,0,1,False,1063876335,0
False,1,1,1,0,190,1,962,1,9.325127315,2,0,0,0,False,1063876335,0
False,1,1,1,0,603,0,0,1,0,0,2,0,2,False,1063878776,0
False,1,1,1,0,603,0,603,1,0,1,3,0,3,False,1063878776,0
False,1,1,1,0,4,2,1208,1,0,3,658,0,95,False,1063988232,0
False,1,1,1,0,4,2,1206,1,1.266851852,2,658,1.789358281,95,False,1063988232,0
False,1,1,1,0,60,1,1340,1,1.380810185,4,659,1.724212503,96,False,1063995637,0
False,1,1,1,0,60,1,1399,1,0,5,659,0,96,False,1063995637,0
False,1,1,1,0,32,5,1169,1,0,3,660,0,329,False,1063995653,0
False,1,1,1,0,32,5,1142,1,10.70612269,2,660,1.093404497,329,False,1063995653,0
False,1,1,1,0,3,3,1458,1,0,7,661,0,97,False,1064019941,0
False,1,1,1,0,3,3,1458,1,0.281296296,6,661,4.554970375,97,False,1064019941,0
False,1,1,1,0,42,2,1498,1,0,9,662,0,98,False,1064020575,0
False,1,1,1,0,42,2,1458,1,0.007337963,8,662,137.2776025,98,False,1064020575,0
False,1,2,2,0.571354974,71,40,935,1,5.65296875,6,663.5,1.089654192,331,False,1064021565,0
False,1,2,2,0.571354974,71,40,950.5,1,0,8,663.5,0,331,False,1064021565,0
False,1,1,1,0,126,86,1250,1,0,5,5,0,5,False,1064180205,0
False,1,1,1,0,126,86,1210,1,2.221909722,4,4,1.45006329,4,False,1064180205,0
False,1,1,1,0,26,25,1232,1,2.869965278,6,665,1.348436271,332,False,1064269530,0
False,1,1,1,0,26,25,1233,1,0,7,665,0,332,False,1064269530,0
False,1,1,1,0,33,15,1252,1,0,9,666,0,333,False,1064276548,0
False,1,1,1,0,33,15,1234,1,0.081226852,8,666,13.31119977,333,False,1064276548,0
False,2,2,2,0.995727452,8,5,1825,1,12.61388889,6,667.5,1.064186043,99,True, 1064276619,1
False,2,2,2,0.995727452,8,5,1826.5,1,0,8,667.5,0,99,True, 1064276619,1
False,1,1,1,0,36,2,1572,1,0,11,669,0,100,False,1064276665,0
False,1,1,1,0,36,2,1538,1,2.96400463,10,669,1.337381389,100,False,1064276665,0
False,1,1,1,0,1,0,29,1,0,3,670,0,27,False,1064277086,0
False,1,1,1,0,1,0,28,1,13.96344907,2,670,1.071615544,27,False,1064277086,0
False,3,3,3,0.93991375,56,7,1527.333333,1,0.008406636,16,672,54.75862228,101,False,1064277673,0
False,3,3,3,0.93991375,56,7,1543.666667,1,0,19,672,0,101,False,1064277673,0
False,1,1,1,0,5,3,702,1,0,5,674,0,335,False,1064277699,0
False,1,1,1,0,5,3,700,1,2.964513889,4,674,1.337323432,335,False,1064277699,0
False,1,1,2,0.043414076,842,2,645,1,1.23884838,6,6.5,0.70180032,7,False,1064394278,0
False,1,1,2,0.043414076,842,2,1065,1,0,8,8.5,0,9,False,1064394278,0
False,1,1,1,0,3,3,1290,1,0.020324074,8,10,50.20273349,10,False,1064396034,0
False,1,1,1,0,3,3,1290,1,0,9,11,0,11,False,1064396034,0
False,1,1,1,0,147,15,1290,1,0.108344907,10,12,10.22978314,12,False,1064405395,0
False,1,1,1,0,147,15,1422,1,0,11,13,0,13,False,1064405395,0
False,1,1,1,0,1,2,1261,1,0,13,675,0,336,False,1064410747,0
False,1,1,1,0,1,2,1262,1,1.540208333,12,675,1.649262816,336,False,1064410747,0
False,1,1,1,0,1,3,30,1,0,3,676,0,28,False,1064426049,0
False,1,1,1,0,1,3,32,1,15.68755787,2,676,1.063744785,28,False,1064426049,0
False,1,1,1,0,4,4,1606,1,1.7440625,12,677,1.573373947,102,False,1064427352,0
False,1,1,1,0,4,4,1606,1,0,13,677,0,102,False,1064427352,0
False,1,1,1,0,3,2,1554,1,0.265173611,12,678,4.771114312,103,False,1064428306,0
False,1,1,1,0,3,2,1555,1,0,13,678,0,103,False,1064428306,0
False,1,1,1,0,2,1,1261,1,0,15,679,0,337,False,1064428640,0
False,1,1,1,0,2,1,1260,1,0.207094907,14,679,5.828703962,337,False,1064428640,0
False,1,1,1,0,691,0,691,1,0,1,680,0,338,True, 1064429672,1
False,1,1,1,0,691,0,0,1,0,0,680,0,338,True, 1064429672,1
False,1,1,1,0,90,28,344,1,1.779907407,4,681,1.561826978,104,True, 1064430403,1
False,1,1,1,0,90,28,406,1,0,5,681,0,104,True, 1064430403,1
False,1,1,1,0,26,26,1262,1,0.175902778,16,682,6.684958547,339,False,1064443838,0
False,1,1,1,0,26,26,1262,1,0,17,682,0,339,False,1064443838,0
False,1,1,1,0,1,24,681,1,0,7,683,0,340,False,1064443940,0
False,1,1,1,0,1,24,704,1,1.924085648,6,683,1.519727384,340,False,1064443940,0
False,1,1,1,0,91,91,1606,1,0,15,684,0,105,False,1064444346,0
False,1,1,1,0,91,91,1606,1,0.196689815,14,684,6.084147346,105,False,1064444346,0
False,1,1,1,0,5,1,364,1,0,3,685,0,341,False,1064444623,0
False,1,1,1,0,5,1,360,1,15.90253472,2,685,1.062883057,341,False,1064444623,0
False,1,1,4,1.989934378,20,4,983,1,0,12,687.5,0,345,False,1064445563,0
False,1,1,4,1.989934378,20,4,979,1,15.91341435,8,687.5,1.032729201,345,False,1064445563,0
False,1,1,1,0,19,1,676,1,0,9,690,0,346,False,1064445608,0
False,1,1,1,0,19,1,658,1,0.019305556,8,690,52.79856115,346,False,1064445608,0
False,1,1,1,0,2,1,100,1,1.943877315,2,691,1.514435758,106,False,1064445624,0
False,1,1,1,0,2,1,101,1,0,3,691,0,106,False,1064445624,0
False,4,9,32,4.802836613,88,84,916.5625,1,0,104,707.5,0,113,True, 1064445646,2
False,4,9,32,4.802836613,88,84,916.4375,1,15.39358073,72,707.5,1.009544799,113,True, 1064445646,2
False,1,1,1,0,43,7,1556,1,0.927627315,14,14,2.07801914,14,False,1064508453,0
False,1,1,1,0,43,7,1592,1,0,15,15,0,15,False,1064508453,0
False,1,1,1,0,7,5,2354,1,16.71958333,2,724,1.059810103,370,False,1064515216,0
False,1,1,1,0,7,5,2356,1,0,3,724,0,370,False,1064515216,0
False,1,1,1,0,4,1,3324,1,0.805625,10,725,2.241272304,184,False,1064515252,0
False,1,1,1,0,4,1,3327,1,0,11,725,0,184,False,1064515252,0
False,1,1,1,0,2,2,1606,1,0.839594907,16,726,2.191050578,114,False,1064516887,0
False,1,1,1,0,2,2,1606,1,0,17,726,0,114,False,1064516887,0
False,1,1,1,0,9,3,1262,1,1.408078704,18,16,1.710187575,0,False,1064565496,0
False,1,1,1,0,9,3,1268,1,0,19,17,0,1,False,1064565496,0
False,1,1,1,0,66,33,1680,1,2.044768519,2,18,1.489052913,16,False,1064570946,0
False,1,1,1,0,66,33,1713,1,0,3,19,0,17,False,1064570946,0
False,1,1,1,0,3,1,1088,1,17.36837963,2,20,1.057575895,2,False,1064571272,0
False,1,1,1,0,3,1,1090,1,0,3,21,0,3,False,1064571272,0
False,1,1,1,0,5,11,1274,1,0.22775463,20,727,5.390690111,371,False,1064585174,0
False,1,1,1,0,5,11,1268,1,0,21,727,0,371,False,1064585174,0
False,1,1,1,0,1017,0,1017,1,0,1,23,0,19,False,1064589038,0
False,1,1,1,0,1017,0,0,1,0,0,22,0,18,False,1064589038,0
False,1,1,1,0,7,3,2364,1,0,5,728,0,372,False,1066186679,0
