@relation 'matplotlib'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,1,1,1,0,1,0,8540,19,1.15741E-05,1,272,12.11152397,233,False,1294555596,0
False,2,2,3,1.199922586,424,139,331,8,23.29292052,1,270,10.42322694,150.5,True, 1295326339,1
False,1,1,2,0.959149554,138,14,4255,19,5.78704E-06,1,271,11.42322694,232,True, 1295326435,1
False,2,2,5,2.004811569,247,63,1976.6,19,1.809553241,3,273,12.91944133,152.5,True, 1295329109,1
False,1,1,2,0.29367631,33,25,685,8,6.064178241,1,274,12.05305042,235,True, 1295853054,1
False,2,2,3,0.879538559,170,56,83.33333333,2,80.18064815,3,275,13.05305042,50,False,1295853127,0
False,1,1,1,0,1,1,8556,19,19.42784722,1,276,9.407280273,236,False,1297007675,0
False,2,2,3,0.928609477,20,17,614.6666667,13,402.3691242,3,379,2.112964938,149,True, 1298133689,1
False,5,12,21,2.648492819,116,447,369.5238095,23,394.2573782,21,380,3.112964938,100.8,True, 1298135776,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298233330,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298233526,0
False,1,1,1,0,8,6,1143,11,30.12596065,1,800,18.32215638,676,True, 1298249048,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298251121,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298251691,0
False,5,6,17,3.692313945,910,867,51,4,984.4291238,6,378,2.111359876,105.6,True, 1298253358,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298254853,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298255010,0
False,1,1,16,3.350518026,897,0,0,0,0,0,0,0,0,True, 1298255628,1
False,1,2,2,0.543564443,8,0,71.5,4,465.2902894,2,381,5.111338861,67,False,1298258045,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298378458,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298378692,0
False,3,3,3,0.974542251,64,30,539.6666667,16,186.4627894,2,1416,20.94786333,506.3333333,True, 1298383855,1
False,1,1,1,0,1,1,1832,13,222.4428356,1,1417,21.94786333,950,True, 1298383933,1
False,2,2,6,2.513645929,9,8,2360.5,26,147.4828221,4,1418,22.94493935,602,True, 1298384267,2
False,1,1,1,0,1,2,1367,9,0.007361111,1,1419,23.94455466,952,False,1298384903,0
False,1,1,1,0,1,2,8517,19,0.04025463,1,1420,24.94002624,953,False,1298387745,0
False,1,1,10,2.696532214,79,90,1723.3,19,169.8657373,6,1421,25.70071896,319,True, 1298395645,1
False,1,1,1,0,6,4,706,11,16.40274306,1,1422,26.70071896,954,False,1298395660,0
False,1,1,1,0,3,3,926,11,5.091412037,1,1423,27.65925848,955,False,1298397775,0
False,2,2,2,0.609840305,7,13,1784,12,0.087928241,2,1424,28.65925848,638,True, 1298397871,1
False,2,2,2,0.637387499,85,70,1252.5,9,1.571359954,2,1425,29.59080629,639,False,1298401476,0
False,1,1,1,0,1,1,291,5,0.067708333,1,1426,30.59080629,322,False,1298401495,0
False,2,2,2,0.439496987,26,18,968.5,16,111.5561632,2,1427,31.5720614,640.5,True, 1298408063,2
False,1,1,1,0,11,3,1608,16,0.008923611,1,1428,32.57141294,959,False,1298408834,0
False,2,2,3,0.174499464,502,306,2963.666667,12,403.0331134,3,1429,33.57072789,642,True, 1298410956,2
False,1,1,1,0,6,2,2209,8,0.014965278,1,1430,34.57062086,325,False,1298412249,0
False,1,1,1,0,1,1,107,4,272.6843287,1,0,0,0,False,1298446140,0
False,1,1,1,0,1,1,107,5,0.005902778,1,1,1,0,False,1298446650,0
False,1,1,1,0,3,2,107,5,0.005717593,1,2,2,1,False,1298447144,0
False,1,1,2,0.970950594,2,3,60.5,5,274.6123495,2,3,3,2,False,1298447311,0
False,1,1,1,0,1,1,107,5,0.003090278,1,4,4,3,False,1298447578,0
False,1,1,4,0.072490417,3810,9,1764.75,10,212.1292882,3,1431,35.56250905,961,True, 1298470144,1
False,2,2,6,2.513645929,9,8,2360.5,26,147.4828221,4,1418,22.94493935,602,True,1298470667,3
False,1,1,2,0.43408112,35,21,755.5,9,119.7429282,2,1432,36.54588328,962,True, 1298476957,1
False,1,1,1,0,14,12,926,11,1.041030093,1,1433,37.51204247,963,False,1298487720,0
False,2,2,2,0.439496987,26,18,968.5,16,111.5561632,2,1427,31.5720614,640.5,True,1298494463,3
False,2,2,3,0.174499464,502,306,2963.666667,12,403.0331134,3,1429,33.57072789,642,True,1298497356,3
False,2,7,12,2.787818081,26,70,1172.833333,22,154.2267332,8,382,6.103872632,169,False,1298516714,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298516896,0
False,1,1,1,0,1,1,1369,6,33.29111111,1,383,7.103786813,271,True, 1298518686,1
False,1,3,5,1.670105653,9508,16,529.6,7,107.0104676,2,1442,38.43614215,971,True, 1298557603,1
False,2,2,2,0.811278124,6,6,1242,10,104.8880324,2,1434,38.43283517,227.5,True, 1298560998,1
False,1,1,1,0,2,2,62,1,183.0178588,1,29,3.713353582,2,False,1298606181,0
False,1,6,63,4.762624503,776,752,1012.396825,29,221.0159926,51,1435,38.33566617,964,True, 1298648040,2
False,1,1,1,0,39,5,1369,7,34.80375,1,30,4.713353582,23,False,1298649378,0
False,1,1,1,0,1,1,228,1,0.025034722,1,1436,39.33476198,965,False,1298650203,0
False,2,2,2,0.811278124,9,19,1261,9,1.433721065,2,1437,40.32743185,646.5,False,1298651925,0
False,1,2,3,1.584962501,3,0,1520.666667,17,0.045219907,1,1438,41.32743185,967,False,1298651947,0
False,1,1,1,0,3,3,1007,14,0.045636574,1,1439,42.32743185,968,False,1298651983,0
False,1,1,1,0,1,1,463,2,0.082361111,1,1440,43.31519183,969,False,1298655156,0
False,1,2,3,1.530618995,8,6,361.6666667,12,0.08275463,1,1441,44.31519183,970,True, 1298655190,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298666976,0
False,1,1,1,0,4,4,456,3,634.0203009,1,1443,46.21269659,130,True, 1298671860,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298671965,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298689224,0
False,1,1,2,0.826746372,38,12,153,1,5.447291667,1,1444,47.21266259,141,False,1298726274,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298763314,0
False,1,1,1,0,20,24,511,2,53.20002315,1,384,7.096789878,272,False,1298839655,0
False,1,1,1,0,20,24,511,3,52.03633102,1,385,7.096789878,273,False,1298839655,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1298840273,0
False,2,2,3,1.547119756,212,56,262.6666667,6,3.027280093,2,1445,48.14388685,650,True, 1298914178,1
False,2,3,4,1.705610851,26,5,1333.75,19,3.040865162,4,1446,49.14308327,651,True, 1298915994,1
False,1,1,1,0,9,3,13,2,5.698344907,1,5,5,4,False,1298939648,0
False,1,1,1,0,2,1,107,5,5.705752315,1,6,6,5,False,1298940555,0
False,1,2,3,1.530618995,8,6,361.6666667,12,0.08275463,1,1441,44.31519183,970,True,1299000790,3
False,2,2,5,1.88358723,214,135,2320.8,20,37.85101852,4,277,7.074142177,133,True, 1299039149,1
False,1,3,13,2.746141872,560,109,707.6923077,3,366.693109,3,1447,40.78812261,8,True, 1299093839,2
False,1,1,2,0.577731086,230,199,1209.5,8,66.93851273,2,1448,41.78812261,330,True, 1299093868,2
False,2,2,4,1.261621964,34,36,1344,17,59.12677373,3,1449,42.78055909,652.5,True, 1299122224,2
False,1,1,1,0,2,1,1591,4,229.3698958,1,278,7.9889233,238,False,1299168082,0
False,1,2,6,1.599870819,177,37,827,2,274.0884722,2,1450,42.39069011,9,True, 1299168317,2
False,1,1,1,0,0,3,466,11,0.53369213,1,1451,43.39069011,975,False,1299168335,0
False,1,1,3,1.004890022,38,27,1636,14,0.53400463,1,1452,44.39069011,332,True, 1299168362,2
False,1,1,1,0,1,0,1591,4,229.3868056,1,279,8.988776371,239,False,1299169543,0
False,1,1,2,0.574635698,4,18,1228,8,0.016516204,1,1453,45.38923911,333,True, 1299169789,2
False,1,1,1,0,4,1,507,3,4.068449074,1,31,4.857506325,24,True, 1299191169,1
False,1,1,1,0,4,1,1325,16,9.474756944,1,280,9.974078834,86,False,1299202886,0
