@relation 'neutron'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,1,1,1,0,202,0,0,1,0,0,0,0,0,True, 1293840523,2
False,1,2,2,0.784992089,28,19,103,1,-244.6407407,3,3.5,0.99693428,4,True, 1293853015,2
False,1,1,1,0,84,22,189,1,-244.6406134,4,7,0.995912371,7,True, 1293857524,2
True,1,1,1,0,8,7,251,1,2.775,5,8,1.36036036,8,True, 1294097284,2
False,1,1,1,0,205,79,252,1,0.174444444,6,9,6.732484076,9,True, 1294112356,2
False,1,1,1,0,0,34,378,1,0.001296296,7,10,772.4285714,10,False,1294112468,0
False,1,1,1,0,0,19,344,1,0.002418981,8,11,414.3971292,11,False,1294112677,0
False,1,1,1,0,3,0,325,1,0.002152778,9,12,465.516129,12,True, 1294112863,2
False,1,1,1,0,84,22,189,1,-244.6406134,4,7,0.995912371,7,True,1294116724,3
True,1,1,1,0,58,32,328,1,0.870115741,10,13,2.149272394,13,True, 1294188041,2
False,1,1,1,0,0,4,354,1,0.005335648,11,14,188.4186551,14,False,1294188502,0
True,1,1,1,0,1,2,0,1,0,0,15,0,0,True, 1294188634,1
True,2,2,4,1.566883817,32,2,0,1,0,0,17.5,0,2,True, 1294192125,1
False,1,2,2,0.784992089,28,19,103,1,-244.6407407,3,3.5,0.99693428,4,True,1294198615,3
False,1,1,1,0,205,79,252,1,0.174444444,6,9,6.732484076,9,True,1294198756,3
True,1,1,1,0,41,33,350,1,0.139259259,12,20,8.180851064,17,True, 1294200534,2
False,1,1,1,0,0,2,358,1,0.015173611,13,21,66.90389016,18,False,1294201845,0
True,1,1,1,0,8,7,251,1,2.775,5,8,1.36036036,8,True,1294270084,3
False,1,1,1,0,202,0,0,1,0,0,0,0,0,True,1294272523,3
True,1,1,1,0,58,32,328,1,0.870115741,10,13,2.149272394,13,True,1294274441,3
False,11,81,322,7.367100168,24930,23690,69.2826087,17,-82.93635726,1076,204.5,0.999644638,7,True,1294278144,3
True,9,87,332,7.381995298,24408,24603,70.44277108,17,185.8929181,1126,404.5,1.000226057,17,True,1294297033,3
True,1,5,7,1.778285279,463,101,278.1428571,15,2.738690476,84,271,0.947605536,267,True,1294304808,3
False,1,2,2,0.948613198,44,54,107.5,1,244.6928009,5,5.5,1.003065068,6,True,1294344873,3
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294441271,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294447449,0
False,1,1,1,0,204,0,0,1,0,0,22,0,19,True, 1294447588,2
True,1,1,2,0.249882293,17,7,280,1,1.668096065,15,23.5,1.311672247,21,True, 1294468840,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294469171,0
False,1,1,1,0,3,3,438,17,-330.4970949,45,410,0.996974255,156,False,1294883067,0
