@relation 'npm'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,2,2,6,2.104222504,288,0,0,1,0,0,2.5,0,1,False,1254244893,0
False,1,1,1,0,0,2,5,1,0.193784722,1,6,6.160365526,4,False,1254261636,0
False,1,1,1,0,94,19,77,1,0.194131944,1,7,6.151135754,5,True, 1254261666,2
True,1,1,1,0,0,41,152,1,0.00193287,2,8,518.3652695,6,False,1254261833,0
False,1,1,1,0,1,1,3,1,0.196712963,1,9,6.08354907,7,False,1254261889,0
False,1,1,1,0,4,14,111,1,0.074861111,3,10,14.3580705,8,False,1254268301,0
False,1,1,1,0,28,3,101,1,0.000208333,4,11,4801,9,True, 1254268319,2
True,2,2,2,0.40217919,20,5,111,1,0.898090278,6,12.5,1.93408625,2,False,1254334201,0
False,1,1,1,0,94,19,77,1,0.194131944,1,7,6.151135754,5,True,1254348066,3
False,1,1,1,0,28,3,101,1,0.000208333,4,11,4801,9,True,1254354719,3
False,1,1,1,0,102,20,141,1,2.279988426,6,14,1.438598718,11,False,1254531192,0
False,2,2,2,0.999142104,15,14,134.5,1,1.66203125,8,15.5,97.15041835,3,False,1254531642,0
False,1,1,1,0,35,17,218,1,0.722060185,8,17,2.384926105,13,False,1254594028,0
False,1,1,1,0,38,0,0,1,0,0,18,0,4,False,1254594078,0
False,1,1,1,0,62,18,38,1,0.102685185,1,19,10.73850316,5,False,1254602950,0
False,1,1,1,0,28,0,0,1,0,0,20,0,6,True, 1254687744,2
False,1,1,1,0,3,1,96,1,4.094872685,2,21,1.244207837,7,False,1254687998,0
False,1,1,1,0,2,19,82,1,0.987141204,2,22,2.013026299,8,False,1254688239,0
False,1,1,1,0,35,31,236,1,1.09099537,9,23,1.916594174,14,False,1254688290,0
False,1,1,1,0,21,9,52,1,1.813425926,2,24,1.55144243,9,False,1254688322,0
True,1,1,1,0,3,2,28,1,0.006979167,1,25,144.2835821,10,False,1254688347,0
False,1,1,1,0,3,2,29,1,0.001527778,2,26,655.5454545,11,False,1254688479,0
False,1,1,1,0,57,6,240,1,0.090428241,10,27,12.05849226,15,False,1254696103,0
False,1,1,1,0,12,3,291,1,0.016469907,11,28,61.7167955,16,False,1254697526,0
False,2,2,3,1.370950594,12,3,1,1,1.689652778,2,30,0.399093064,17,False,1254699847,0
False,2,2,2,1,3,3,1.5,1,0.000428241,4,32.5,1752.351351,18,False,1254699884,0
False,2,2,4,2,4,4,131.75,1,0.912890625,21,35.5,1.602083646,14,False,1254769395,0
False,1,1,1,0,3,3,300,1,0.003136574,13,38,319.8191882,20,False,1254769666,0
False,1,1,1,0,28,0,0,1,0,0,20,0,6,True,1254774144,3
False,2,2,5,0.780213783,42,57,105.2,1,2.989537037,25,41,1.099363428,16,False,1254821293,0
False,1,1,1,0,1,1,3,1,0.002025463,3,44,494.7142857,24,False,1254821468,0
False,1,1,1,0,4,1,288,1,1.458125,15,45,1.685812259,25,False,1254947275,0
False,2,2,2,0.994442325,40,17,160.5,1,97.89137731,19,46.5,1.007740911,17,False,1263275692,0
False,3,3,4,0.782180716,0,106,26.5,1,98.63425926,14,49.5,1.005251531,18,False,1263282623,0
False,1,1,1,0,23,50,64,1,97.93327546,2,52,1.010211034,29,False,1263282728,0
False,2,2,6,2.50871226,160,160,30.5,1,32.75924961,13,55.5,0.50338766,21,False,1263282925,0
False,1,1,2,0.650022422,24,24,65,1,0.000439815,2,59.5,1706.263158,4,True, 1263282963,2
