@relation 'sentry'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,1,1,2,0.999856899,71,0,0,0,0,0,0,0,0,True, 1210609579,2
False,1,1,2,0.721928095,15,0,0,0,0,0,1,1,0,True, 1210609713,1
False,1,1,2,0.999856899,71,0,0,0,0,0,0,0,0,True,1217521579,3
False,1,1,1,0,2,0,42,1,7.559861111,1,3,0.653846154,1,False,1218149529,0
False,1,1,3,1.284777238,18,11,13.33333333,1,50.40124228,1,4,0.277865613,2,True, 1224028358,1
False,1,1,1,0,2,2,12,1,325.0752431,1,5,0.139742734,1,True, 1238696214,1
False,1,1,2,1,3,1,7.5,1,164.1260127,2,0,0,0,True, 1238833451,1
False,1,1,1,0,2,2,44,1,239.8210069,1,1,1,0,True, 1238870064,2
False,1,1,1,0,1,1,44,2,0.020659722,1,2,2,1,False,1238871849,0
False,1,1,1,0,2,2,44,1,239.8210069,1,1,1,0,True,1238956464,3
False,1,1,1,0,2,0,44,2,127.9685995,1,6,0.143576866,3,False,1249928336,0
False,2,2,6,1.991465044,81,17,15,2,146.7037751,3,7,0.28915189,3,True, 1253217435,1
False,1,1,1,0,4,0,43,1,0.000428241,1,8,1.28915189,3,False,1253217472,0
False,1,1,3,1.284777238,18,11,13.33333333,1,50.40124228,1,4,0.277865613,2,True,1253231558,3
False,1,1,2,1,3,1,7.5,1,164.1260127,2,0,0,0,True,1253262251,3
False,1,1,2,0.721928095,15,0,0,0,0,0,1,1,0,True,1253291313,3
False,1,1,1,0,2,2,12,1,325.0752431,1,5,0.139742734,1,True,1253297814,3
False,2,2,8,2.439896201,292,53,18.875,2,33.18769965,2,9,0.425929058,4.5,True, 1257805310,2
False,1,1,1,0,7,0,94,1,0.001400463,1,10,1.425929058,5,False,1257805431,0
False,1,1,2,0.954434003,6,2,99,1,0.01068287,1,11,2.425929058,6,True, 1257806233,2
False,1,1,1,0,11,2,121,1,0.002592593,1,12,3.425929058,7,False,1257806457,0
False,1,1,1,0,1,1,47,1,0.040821759,1,13,4.425929058,8,True, 1257808837,2
False,2,2,6,2.033339302,97,11,50.83333333,2,65.85544946,5,14,5.425929058,7.5,True, 1257866528,2
False,1,1,1,0,2,2,168,1,0.001898148,1,15,6.425929058,10,True, 1257866692,2
False,1,1,1,0,3,2,130,1,0.003217593,1,16,7.425929058,7,False,1257866806,0
False,1,1,1,0,28,17,168,1,0.022916667,1,17,8.425929058,11,False,1257868672,0
False,1,1,1,0,1,1,179,1,0.000821759,1,18,9.425929058,12,False,1257868743,0
False,1,1,1,0,2,2,179,1,0.004467593,1,19,10.42592906,13,False,1257869129,0
False,1,1,1,0,4,4,179,1,0.000810185,1,20,11.42592906,14,True, 1257869199,2
False,1,1,2,1,3,1,89.5,1,0.021903935,2,21,12.42592906,15,True, 1257869756,2
False,1,1,1,0,1,0,181,1,0.00130787,1,22,13.42592906,16,False,1257869869,0
False,2,2,7,2.106694515,196,81,67.85714286,1,0.159206349,5,23,14.42592906,12.5,True, 1257873668,2
False,1,1,1,0,1,1,166,1,0.00806713,1,24,15.42592906,9,False,1257874365,0
False,2,2,8,2.439896201,292,53,18.875,2,33.18769965,2,9,0.425929058,4.5,True,1257891710,3
False,1,1,2,0.954434003,6,2,99,1,0.01068287,1,11,2.425929058,6,True,1257892633,3
False,1,1,1,0,1,1,47,1,0.040821759,1,13,4.425929058,8,True,1257895237,3
False,2,2,6,2.033339302,97,11,50.83333333,2,65.85544946,5,14,5.425929058,7.5,True,1257952928,3
False,1,1,1,0,2,2,168,1,0.001898148,1,15,6.425929058,10,True,1257953092,3
False,1,1,1,0,4,4,179,1,0.000810185,1,20,11.42592906,14,True,1257955599,3
False,1,1,2,1,3,1,89.5,1,0.021903935,2,21,12.42592906,15,True,1257956156,3
False,1,1,6,1.52413111,108,8,68,2,2.708622685,2,25,16.39644539,18,True, 1258153070,2
False,2,2,7,2.106694515,196,81,67.85714286,1,0.159206349,5,23,14.42592906,12.5,True,1258219268,3
False,1,1,2,0.721928095,2,3,123.5,1,2.834930556,1,26,17.39136703,19,False,1258398008,0
False,1,1,1,0,1,1,177,1,6.997453704,1,27,9.863043138,20,False,1259002588,0
False,1,1,1,0,2,2,68,1,11.858125,1,0,0,0,True, 1259177612,1
False,1,1,6,1.52413111,108,8,68,2,2.708622685,2,25,16.39644539,18,True,1259189870,3
False,2,2,2,0.630506239,9,92,171.5,1,49.62831597,2,28,2.431549819,15.5,False,1262726363,0
False,1,1,1,0,1,1,0,1,54.25185185,1,29,3.431309434,22,False,1262840430,0
False,1,1,2,0.391243564,13,0,96.5,1,55.56784722,2,0,0,0,False,1263239190,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1263506338,0
False,1,1,1,0,3,2,28,2,17.09769676,1,30,2.340452133,23,False,1264716431,0
False,1,1,1,0,1,1,29,2,0.003310185,1,31,3.340452133,24,False,1264716717,0
False,1,1,2,1,2,2,34.5,1,47.42709491,2,32,4.340452133,25,False,1264716920,0
False,1,1,1,0,2,2,29,2,0.005613426,1,33,5.340452133,26,False,1264717202,0
False,1,1,2,1,6,2,49,2,0.005081019,2,34,6.340452133,27,False,1264717500,0
False,1,1,1,0,1,1,73,1,0.009247685,1,35,7.340452133,28,False,1264718299,0
False,1,1,1,0,1,1,73,1,0.006134259,1,36,8.340452133,29,False,1264718829,0
False,1,1,1,0,7,7,73,1,35.99550926,1,37,2.714177739,30,False,1267828841,0
False,1,3,6,2.289218977,86,13,17,2,6.017706404,2,38,3.710501269,31,False,1267832960,0
False,1,1,2,0.522559375,8,9,58,2,0.117488426,1,39,4.710501269,32,True, 1267843111,2
False,2,3,11,2.175882298,132,37,52.90909091,3,63.98550505,7,40,5.626668644,22,True, 1268286418,2
False,2,2,2,0.625262405,8,24,88,1,7.672314815,1,41,4.376274562,23,False,1268949306,0
False,1,1,1,0,0,2,92,1,20.80484954,1,42,3.612286161,35,False,1270083957,0
False,1,1,1,0,6,2,170,1,20.81105324,1,43,4.612286161,36,False,1270084493,0
False,1,1,1,0,0,2,8,1,13.14016204,1,44,5.612286161,37,False,1270084616,0
False,1,1,1,0,13,4,96,2,20.81533565,1,45,6.612286161,38,False,1270084863,0
False,2,3,11,2.175882298,132,37,52.90909091,3,63.98550505,7,40,5.626668644,22,True,1270100818,3
False,2,2,3,1.246705213,14,7,91,3,17.21622299,3,46,7.076445577,26,True, 1270594344,2
False,2,3,9,2.224271677,136,25,49.11111111,3,51.60301569,6,48,2.807596889,28,True, 1273694541,2
False,2,3,9,2.27651718,124,25,49.11111111,3,51.60301312,5,47,2.807596889,27,False,1273694541,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1273695407,0
False,1,1,3,1.178587372,37,9,106,2,0.01755787,1,49,4.807596889,42,True, 1273696058,2
False,1,1,1,0,3,1,156,1,35.90782407,1,50,5.807596889,16,False,1273696780,0
False,1,1,1,0,2,0,66,2,0.030868056,1,51,6.807596889,43,False,1273697208,0
False,1,1,1,0,1,1,0,1,0.014224537,1,52,7.807596889,44,True, 1273697287,2
False,1,1,1,0,1,0,144,2,0.206550926,1,53,8.712358794,45,True, 1273713904,2
False,1,1,2,0.918295834,3,3,72.5,2,0.101128472,2,54,9.712358794,46,False,1273714333,0
False,1,1,1,0,1,1,145,2,0.001793981,1,55,10.71235879,47,False,1273714488,0
False,1,1,2,0.764204507,4,5,72.5,2,0.687309028,2,56,11.69820932,48,True, 1273773794,2
False,1,1,2,0.918295834,4,2,72,2,0.034259259,1,57,12.69791709,49,False,1273776754,0
False,2,3,9,2.224271677,136,25,49.11111111,3,51.60301569,6,48,2.807596889,28,True,1273780941,3
False,1,1,1,0,1,1,0,1,0.014224537,1,52,7.807596889,44,True,1273783687,3
False,1,1,1,0,1,0,144,2,0.206550926,1,53,8.712358794,45,True,1273800304,3
False,1,1,2,0.764204507,4,5,72.5,2,0.687309028,2,56,11.69820932,48,True,1273860194,3
False,1,2,3,0.809827492,100,10,45.66666667,3,61.23810957,2,58,8.989602746,50,True, 1274373869,1
False,1,2,4,0.854810528,100,31,61.75,4,2.036388889,2,59,9.48932026,51,True, 1274379981,2
False,1,1,1,0,0,1,194,2,0.00068287,1,60,10.48932026,52,False,1274380040,0
False,1,1,1,0,11,23,193,2,0.005532407,1,61,11.48932026,53,False,1274380518,0
False,1,1,1,0,7,5,158,1,7.91619213,1,62,12.48932026,17,False,1274380739,0
False,1,1,1,0,1,1,0,1,6.990729167,1,63,13.48932026,54,False,1274380753,0
False,1,1,1,0,0,1,23,2,0.050231481,1,64,13.98932026,55,False,1274384321,0
False,1,1,1,0,1,1,0,1,0.04181713,1,65,14.98932026,56,False,1274384366,0
False,1,1,1,0,3,0,0,0,0,0,66,15.98932026,18,False,1274384963,0
False,1,2,4,1.489722164,48,6,58.25,3,0.052991898,4,67,16.98773296,57,False,1274386875,0
False,1,1,1,0,1,0,56,1,0.002222222,1,68,17.98773296,58,False,1274387067,0
False,1,1,1,0,0,5,5,2,411.5954167,1,69,18.95456302,19,False,1274395295,0
False,1,1,1,0,1,0,57,1,5.983136574,1,70,19.88313525,59,False,1274904010,0
False,2,2,4,1.526597847,42,8,138.75,2,6.505969329,3,71,20.88313525,40,False,1274904045,0
False,1,1,1,0,1,1,178,1,0.007789352,1,72,21.54980191,21,False,1274904718,0
False,1,1,1,0,4,1,194,2,0.056006944,1,73,21.88313525,61,False,1274908884,0
False,1,1,1,0,4,1,197,2,0.000335648,1,74,22.88313525,62,False,1274908913,0
False,1,1,1,0,5,4,26,2,6.071643519,1,75,23.88313525,63,False,1274911465,0
False,1,1,1,0,5,1,178,1,0.096377315,1,76,24.88313525,22,False,1274913045,0
False,1,1,2,0.863120569,2,5,86.5,3,6.604519676,2,77,25.88313525,64,True, 1274914740,2
False,1,1,1,0,2,2,200,2,0.267916667,1,78,26.32757969,65,False,1274932061,0
False,1,1,2,0.811278124,5,3,172.5,2,0.10078125,2,79,27.32757969,66,True, 1274932108,1
False,1,1,1,0,1,1,0,1,6.418240741,1,80,28.31762298,67,False,1274941411,0
False,1,2,4,0.956765708,73,15,88,2,45.32132523,3,81,28.81751333,68,False,1274983106,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1274983129,0
False,1,2,4,0.854810528,100,31,61.75,4,2.036388889,2,59,9.48932026,51,True,1274984781,3
False,1,1,1,0,61,14,201,1,7.152303241,1,82,19.39200221,69,False,1275522004,0
False,1,1,1,0,13,5,248,1,0.006828704,1,83,20.39200221,70,False,1275522594,0
False,1,1,1,0,27,1,256,1,0.001342593,1,84,21.39200221,71,False,1275522710,0
False,1,1,2,0.795040279,16,9,213.5,2,3.4509375,2,85,22.39200221,72,True, 1275525570,2
False,1,1,2,0.954434003,11,13,134.5,2,3.159513889,2,0,0,0,True, 1275527320,2
False,1,1,1,0,1,1,0,1,6.810138889,1,86,23.09755777,73,False,1275529807,0
False,1,1,2,0.522559375,8,9,58,2,0.117488426,1,39,4.710501269,32,True,1275532711,3
False,1,1,1,0,3,3,202,2,7.127395833,1,87,20.08718874,74,False,1275598913,0
False,1,1,1,0,2,2,15,1,8.104988426,1,88,21.0649931,75,False,1275604316,0
False,1,1,3,0.637712567,68,42,201,3,0.621944444,3,89,22.0649931,76,True, 1275604337,1
False,1,1,1,0,71,0,0,0,0,0,90,22.89236883,77,False,1275606988,0
False,1,1,1,0,4,1,150,3,0.922881944,1,91,23.89236883,78,False,1275607057,0
False,1,1,1,0,3,2,25,2,8.013009259,1,92,24.89236883,79,False,1275607064,0
False,1,3,3,0.853082399,48,32,121,2,5.13023534,3,93,25.89236883,80,False,1275607070,0
False,1,5,10,2.860034413,301,83,65.9,3,2.233829861,4,94,26.89236883,81,True, 1275609529,2
False,1,1,1,0,1,1,86,1,0.001053241,1,95,27.89236883,82,False,1275609620,0
False,2,2,2,0.918295834,2,1,91,1,4.494444444,2,96,28.89236883,53,False,1275609746,0
False,1,1,1,0,12,6,241,2,0.012523148,1,97,29.89236883,84,False,1275610611,0
False,1,1,2,0.795040279,16,9,213.5,2,3.4509375,2,85,22.39200221,72,True,1275611970,3
False,1,1,2,1,4,4,49.5,1,0.709103009,2,1,1,0,False,1275670841,0
False,1,1,2,1,2,2,49.5,2,0.723663194,2,98,30.89236883,85,False,1275672099,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1275672131,0
False,1,1,5,2.287388747,18,13,86.4,4,0.736,4,99,31.89236883,86,True, 1275687368,2
False,2,2,4,1.658275377,29,10,89.25,4,0.227123843,2,100,32.89236883,55.5,True, 1275687586,2
False,1,3,5,1.904708044,27,6,141.6,3,0.597708333,4,101,33.89236883,88,False,1275688258,0
False,1,1,4,1.395354827,61,20,121.25,4,0.011614583,3,102,34.89236883,89,True, 1275688871,2
False,1,1,1,0,1,1,147,3,0.013368056,1,103,35.89236883,90,False,1275690026,0
False,2,2,3,1.246705213,14,7,91,3,17.21622299,3,46,7.076445577,26,True,1275691944,3
False,1,1,2,0.863120569,2,5,86.5,3,6.604519676,2,77,25.88313525,64,True,1275692340,3
False,1,1,4,1.440326547,34,10,129.75,4,0.131128472,3,104,36.88023039,91,True, 1275700168,2
False,1,1,3,1.178587372,37,9,106,2,0.01755787,1,49,4.807596889,42,True,1275769658,3
False,2,2,4,1.658275377,29,10,89.25,4,0.227123843,2,100,32.89236883,55.5,True,1275773986,3
False,1,1,4,1.395354827,61,20,121.25,4,0.011614583,3,102,34.89236883,89,True,1275775271,3
False,1,1,1,0,0,13,247,2,2.801782407,1,105,37.87456599,92,False,1275929442,0
False,1,1,1,0,11,6,234,2,0.028773148,1,106,38.87456599,93,False,1275931928,0
False,1,1,1,0,29,0,0,0,0,0,107,39.86950596,25,True, 1275949593,1
False,1,1,1,0,371,1,18,1,5.760474537,1,108,40.84123115,94,True, 1276107234,2
False,1,1,3,1.459147917,0,6,145,4,3.853757716,2,109,41.84123115,95,False,1276110386,0
False,1,5,10,2.860034413,301,83,65.9,3,2.233829861,4,94,26.89236883,81,True,1276127929,3
False,1,1,1,0,1,3,25,2,29.07048611,1,110,36.32901931,26,False,1276206231,0
False,1,1,1,0,1,1,191,1,8.894861111,1,0,0,0,False,1276456102,0
False,2,4,5,0.916118214,21,4,4.6,2,15.31141898,2,111,10.48378866,61.5,True, 1279215255,2
False,1,2,2,0.619382195,9,4,9.5,1,0.052141204,1,112,11.38515647,97,False,1279219760,0
False,2,2,5,1.759284749,56,58,140.2,4,35.12975926,5,113,11.71287972,63,True, 1279670146,2
False,1,1,1,0,1,1,171,2,0.00375,1,114,12.71287972,99,False,1279670470,0
False,1,1,1,0,25,3,336,1,0.003819444,1,115,13.71287972,100,False,1279670476,0
False,1,1,1,0,1,9,183,2,0.008761574,1,116,14.71287972,29,False,1279670903,0
False,1,1,1,0,10,3,236,2,43.21707176,1,117,13.9220629,101,False,1279844341,0
False,1,1,1,0,4,1,155,3,49.17868056,1,118,12.54713358,102,False,1280359424,0
False,1,1,1,0,9,3,171,2,7.975497685,1,119,13.54713358,103,True, 1280359553,2
False,1,1,2,0.189278431,39,30,88.5,2,3.991232639,2,120,14.54713358,104,False,1280359692,0
False,1,1,2,1,2,2,172,3,0.013032407,2,121,15.53324469,105,False,1280360684,0
False,1,1,3,0.773228349,24,2,181.6666667,2,2.672604167,3,123,16.50546691,107,False,1280361197,0
False,1,1,1,0,1,1,186,2,0.0059375,1,122,16.50546691,106,False,1280361197,0
False,2,2,5,1.759284749,56,58,140.2,4,35.12975926,5,113,11.71287972,63,True,1280361346,3
False,2,3,7,1.406883577,79,11,85,2,7.297733135,3,124,18.50546691,69,True, 1280362229,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1280362289,0
False,1,1,2,0.954434003,11,13,134.5,2,3.159513889,2,0,0,0,True,1280365720,3
False,1,1,1,0,5,4,158,3,0.795069444,1,125,18.99816198,109,False,1280429378,0
False,1,1,1,0,14,0,428,1,0.826215278,1,126,19.96234731,110,False,1280433614,0
False,1,1,1,0,9,3,171,2,7.975497685,1,119,13.54713358,103,True,1280445953,3
False,1,1,2,0.918295834,3,3,3,1,65.38191551,2,127,20.09179168,111,False,1280871904,0
False,1,1,1,0,3,0,442,1,7.126909722,1,128,15.32612642,112,False,1281049379,0
False,1,1,1,0,1,1,159,3,8.023773148,1,129,16.05945976,113,False,1281122632,0
False,2,2,3,0.828411717,48,1,161.3333333,1,6.163287037,2,130,17.05945976,72.5,True, 1281123787,1
False,1,1,1,0,1,1,0,1,2.915451389,1,131,18.05945976,115,False,1281123799,0
False,1,1,1,0,2,1,186,2,11.87201389,1,132,18.96207354,116,False,1281387971,0
False,1,1,1,0,1,2,187,2,0.152604167,1,133,19.9477573,117,False,1281401156,0
False,1,2,4,1.291083107,116,134,175.75,2,38.95412037,4,134,20.08110877,118,False,1281556544,0
False,1,2,3,1.159554752,11,6,137.6666667,2,0.006284722,1,135,21.05496825,119,True, 1281557087,2
False,1,2,3,1.122113677,13,5,139.3333333,2,0.011759259,1,136,22.04739249,120,False,1281558103,0
False,1,1,2,0.522559375,5,12,121,2,0.004189815,1,137,23.04189798,121,False,1281558465,0
False,1,2,3,1.159554752,11,6,137.6666667,2,0.006284722,1,135,21.05496825,119,True,1281643487,3
False,2,4,10,2.413858739,217,72,110,3,6.597809028,5,138,19.39768042,77,True, 1281993004,1
False,1,1,1,0,5,4,235,2,9.888287037,1,139,13.24108935,123,False,1282847352,0
False,1,1,1,0,1,1,0,1,9.88837963,1,140,14.24108935,124,False,1282847360,0
False,1,1,1,0,0,2,236,2,0.000497685,1,141,15.24108935,125,False,1282847395,0
False,2,2,2,0.918295834,2,1,271.5,1,9.953090278,1,142,16.08372541,79.5,False,1282852951,0
False,1,1,1,0,2,0,83,1,10.13856481,1,143,16.86525944,127,False,1282868976,0
False,1,1,1,0,11,15,234,2,0.253321759,1,144,17.86525944,128,False,1282869282,0
False,1,1,1,0,4,1,230,2,0.760162037,1,145,18.85884918,129,False,1282934960,0
False,1,1,1,0,1,1,233,2,0.014085648,1,146,19.85884918,130,False,1282936177,0
False,3,13,41,3.109250149,243,250,61.43902439,6,8.16027185,8,147,20.30071813,55,True, 1283206399,2
False,1,9,19,2.987666851,75,319,102.6842105,3,0.025819323,2,148,21.29209304,1,False,1283209659,0
False,1,1,1,0,5,5,187,2,0.001643519,1,149,22.29209304,2,True, 1283209801,2
False,3,5,12,2.497289611,315,3,16.58333333,2,0.012359182,2,150,23.29153933,12.66666667,True, 1283214507,2
False,1,2,6,1.654404462,153,25,145.6666667,3,0.027604167,2,151,24.29153933,4,True, 1283215276,2
False,1,2,3,1.540709585,21,6,97.33333333,1,0.003263889,1,152,25.20820599,5,False,1283215558,0
False,1,2,2,1,2,2,61.5,1,0.000844907,1,153,26.20820599,6,False,1283215631,0
False,1,2,2,0.706274089,29,23,61.5,1,0.00162037,1,154,27.20820599,7,True, 1283215771,2
False,1,1,1,0,2,0,184,1,0.005300926,1,155,28.20820599,8,False,1283216016,0
False,1,1,1,0,0,2,93,1,0.003981481,1,156,29.20820599,9,False,1283216115,0
False,1,1,1,0,1,0,0,0,0,0,157,30.20820599,1,False,1283216332,0
False,1,1,1,0,802,1,1,1,0.002094907,1,158,31.20820599,2,False,1283216513,0
False,2,2,2,0.297472249,38,38,435,2,0.062673611,2,159,32.20820599,6.5,False,1283216871,0
False,2,3,4,1.645733485,33,12,79.75,1,43.29811343,4,160,33.20820599,23.5,True, 1283224537,2
False,1,1,1,0,1,1,196,1,0.000729167,1,161,34.20820599,12,False,1283224600,0
