@relation 'spring-integration'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195002354,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195003702,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195049108,0
False,1,2,7,1.259080257,260,0,0,1,0,0,3,0,6,False,1195077690,0
False,2,4,14,2.259080257,260,260,18.57142857,1,0.0028125,7,13.5,33.42517007,13,False,1195078176,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195135503,0
False,1,1,3,1.148834854,9,5,9.666666667,1,1.869340278,3,22,1.326912718,9,False,1195239687,0
False,1,1,1,0,2,2,2,1,0.006921296,2,24,145.4816054,10,False,1195240285,0
False,1,1,2,0.904381458,25,0,0,1,0,0,25.5,0,12,False,1195240937,0
False,2,4,18,2.695727042,289,289,16.05555556,1,0.421484053,13,35.5,56.78019544,8,False,1195241081,0
False,1,1,1,0,6,2,8,1,0.146724537,1,45,7.815492624,9,False,1195253758,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195506089,0
False,1,1,3,1.148834854,6,8,11,1,3.07087963,3,47,1.199001975,12,False,1195506405,0
False,1,1,3,1.584962501,99,0,0,1,0,0,50,0,15,True, 1195507776,1
False,1,1,3,1.380887946,171,0,0,1,0,0,53,0,18,True, 1195509637,1
False,1,1,3,1.384431504,12,0,57,1,0.042962963,3,56,15.22413793,21,False,1195513349,0
False,1,1,3,1.584962501,6,0,33,1,0.076990741,3,59,8.937462417,24,True, 1195514428,1
False,1,2,3,1.491340908,168,0,0,1,0,0,62,0,27,True, 1195517821,1
False,1,1,1,0,19,0,107,1,0.665740741,2,64,2.502086231,28,False,1195570869,0
False,1,9,19,3.988759099,477,476,26.15789474,1,0.469749635,18,74,1.213059932,47,True, 1195597186,1
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1195597346,0
False,1,2,3,1.190296995,176,21,56.33333333,1,0.160428241,3,85,4.809248972,50,False,1195611047,0
False,1,2,3,1.475164107,106,12,12.33333333,1,0.205200617,2,88,0.874808854,53,False,1195664235,0
False,1,1,1,0,43,2,150,1,0.637430556,2,90,2.568798344,54,False,1195666121,0
False,1,1,1,0,32,0,0,1,0,0,91,0,55,True, 1195673464,1
False,1,1,1,0,31,0,0,1,0,0,92,0,56,False,1196557078,0
False,1,1,3,1.579871302,126,0,0,1,0,0,94,0,59,True, 1196557288,1
False,1,1,4,1.537194799,92,33,50.5,1,8.818098958,3,97.5,0.788982325,63,True, 1196613031,1
False,1,1,2,0.309543429,62,10,84.5,1,11.2987037,5,100.5,1.0676186,65,False,1196613849,0
False,1,1,1,0,41,0,0,1,0,0,102,0,66,True, 1196614120,1
False,1,1,1,0,34,0,0,1,0,0,103,0,67,False,1196614316,0
False,1,1,5,1.810320003,759,0,0,1,0,0,106,0,72,False,1196619427,0
False,1,1,1,0,28,0,0,1,0,0,109,0,73,False,1196619578,0
False,1,1,1,0,161,0,0,1,0,0,110,0,74,True, 1196620789,2
False,1,1,1,0,28,0,0,1,0,0,111,0,75,False,1196620878,0
False,1,1,1,0,48,0,0,1,0,0,112,0,76,False,1196627134,0
False,1,1,3,1.287697567,217,161,53.66666667,1,0.068070988,1,114,5.896848787,79,False,1196638433,0
False,1,1,3,1.255754158,298,0,0,1,0,0,117,0,82,False,1196638503,0
False,1,1,2,0.930586129,104,0,0,1,0,0,119.5,0,84,True, 1196638764,1
