@relation 'tomcat'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,2,79,976,8.937691918,264772,0,0,1,0,0,487.5,0,974,False,1143467626,0
False,1,1,1,0,2,1,190,1,0.248287037,1,976,5.027596494,975,False,1143489078,0
False,1,2,18,3.816619877,9872,0,0,1,0,0,8.5,0,17,False,1143528058,0
False,1,1,2,0.950956048,27,0,0,1,0,0,18.5,0,1,False,1143528343,0
False,1,1,1,0,1025,0,0,1,0,0,20,0,18,False,1143528575,0
False,1,1,1,0,137,1,29,1,1.100092593,1,977,1.909014393,1,False,1143562674,0
True,1,1,1,0,21,2,165,1,0.024618056,2,21,41.62059238,2,False,1143564801,0
True,3,4,6,0.313322643,1140,0,0,1,0,0,24.5,0,1,False,1143564900,0
False,2,2,6,1.868394259,657,24,30.66666667,1,0.146379244,3,980.5,0.712864981,6,False,1143640684,0
False,1,1,2,0.789271272,0,93,48.5,1,0.001354167,2,984.5,554.8461538,8,False,1143640801,0
True,3,3,3,0.510659143,17,98,178.3333333,1,0.696689815,6,987,12.80446844,1,False,1143643192,0
False,3,18,76,4.449497259,7724,259,430.0526316,1,1.473504203,53,1026.5,1.068154828,2,True, 1143680122,2
False,1,1,1,0,4,1,1083,1,0.378877315,1,1065,3.639376814,1050,False,1143712857,0
True,1,1,1,0,9,10,10,1,2.279351852,1,1066,1.438721209,12,False,1143725279,0
False,1,1,1,0,1,1,9,1,0.002835648,2,1067,353.6530612,13,False,1143725524,0
False,1,1,1,0,128,121,228,1,0.592465278,1,1068,2.687862627,1051,False,1143731311,0
False,1,1,1,0,6,6,1086,1,0.214768519,2,1069,5.6561759,1052,False,1143731413,0
True,1,1,1,0,5,1,2523,1,3.158020833,1,1070,1.316654022,1053,False,1143740479,0
False,1,1,1,0,1,0,254,1,0.69912037,6,1071,2.43036885,14,False,1143740526,0
False,1,1,1,0,3,1,643,1,7.421377315,1,1072,1.134745878,1054,False,1144108833,0
False,1,1,2,0.738284866,20,4,2038,1,5.843269676,3,1073.5,1.160037924,1056,False,1144108911,0
False,1,2,2,0.886540893,21,2,276.5,1,7.423240741,2,1075.5,1.10103404,1058,True, 1144108994,2
False,1,1,1,0,10,0,430,1,7.423657407,1,1077,1.134704492,1059,False,1144109030,0
False,1,1,1,0,1,1,619,1,8.143009259,1,1078,1.122804723,1060,False,1144171182,0
True,1,5,6,1.958948385,265,38,1386.166667,1,5.477056327,9,1081.5,1.071019567,1066,False,1144190049,0
False,1,2,2,0.886540893,21,2,276.5,1,7.423240741,2,1075.5,1.10103404,1058,True,1144195394,3
False,1,2,10,3.310732926,319,0,0,1,0,0,1089.5,0,1076,True, 1144332585,2
False,1,2,3,1.198632032,348,1,488,1,3.888861883,3,1096,0.728525087,1079,False,1144332834,0
False,1,1,1,0,11,0,255,1,6.866064815,7,1098,1.145643833,15,False,1144333754,0
False,1,1,1,0,1,0,40,1,0.399201389,1,1099,3.505001305,1080,False,1144367076,0
False,1,1,2,0.313026992,389,1,674.5,1,5.206012731,1,1100.5,1.096042792,1082,True, 1144367225,2
False,1,1,1,0,1,1,41,1,1.019444444,2,1102,1.980926431,1083,False,1144455156,0
False,1,2,5,1.748505841,345,34,1733,1,7.835270833,8,1105,1.040887524,1088,True, 1144600689,2
False,1,1,1,0,13,3,266,1,3.463252315,8,0,0,0,False,1144632979,0
False,1,1,1,0,2,0,276,1,0.017349537,9,1,58.63842562,1,False,1144634478,0
False,1,2,3,1.413419523,30,21,2255.666667,1,1.956886574,8,1109,1.312287446,1091,False,1144769764,0
False,1,1,2,0.875880803,776,665,332.5,1,15.87563657,2,1111.5,1.0472422,1093,True, 1144839281,1
False,1,7,26,3.491611647,521,208,60.30769231,2,2.826927528,13,1125.5,0.951103979,1119,True, 1144847899,2
False,1,2,2,0.359101626,30,14,286.5,1,3.243373843,3,1139.5,1.166800415,1121,True, 1144848722,2
False,1,1,2,0.309543429,8,28,143.5,2,7.741388889,13,1141.5,1.070750931,17,False,1144848857,0
False,1,1,2,0.486205718,197,21,148.5,2,6.865885417,13,1143.5,1.073097315,19,False,1144857702,0
False,1,1,1,0,46,39,2207,1,16.89212963,1,1145,1.059199167,1122,False,1144927106,0
False,1,1,1,0,2,1,430,1,17.00024306,1,1146,1.058822688,1123,False,1144936447,0
False,1,1,1,0,4,0,431,1,0.001886574,2,1147,531.0613497,1124,False,1144936610,0
False,1,5,5,2.077050957,17,26,999,1,17.33181713,5,1150,1.026348459,1129,False,1144965095,0
False,1,4,4,1.549338086,52,41,1776.25,1,13.9841985,5,1154.5,1.037714902,1133,True, 1145050228,2
True,1,1,1,0,1,1,415,2,5.420636574,12,2,1.184480178,2,False,1145326045,0
False,1,1,1,0,1,1,415,2,0.548009259,13,3,2.824786686,3,False,1145373393,0
False,1,2,2,0.440694239,244,8,112,1,3.527476852,3,1157.5,1.141744375,1135,True, 1145458270,2
False,1,1,1,0,75,0,0,1,0,0,1159,0,1136,False,1145459933,0
True,1,1,1,0,5,1,326,1,23.95322917,1,1160,1.041748025,1137,False,1145537185,0
False,1,1,1,0,1,10,2214,1,7.446608796,2,1161,1.134289316,1138,False,1145570493,0
False,1,7,24,3.766813507,486,1418,574.6666667,1,23.3300815,35,1173.5,1.008588061,1162,True, 1145617445,2
False,1,1,1,0,694,0,0,1,0,0,1186,0,1163,True, 1145630366,1
False,1,2,3,1.045471541,145,24,790.6666667,1,18.0902392,3,1188,1.030726655,1166,True, 1145751536,1
True,1,1,1,0,1,0,58,2,11.23009259,3,1190,1.089046461,20,False,1145827982,0
False,1,1,1,0,0,1,1253,1,24.86013889,2,1191,1.040225037,1167,False,1145828038,0
False,1,1,2,0.912734156,38,23,1234,1,0.887916667,4,1192.5,1.844673862,1169,True, 1145828252,1
False,1,1,1,0,2,7,671,1,2.564895833,2,4,1.389879381,0,False,1145839052,0
False,1,1,3,1.214662317,587,877,885.3333333,1,27.24886574,4,1195,1.02189109,1172,False,1145892760,0
True,1,1,1,0,1,1,1697,1,11.36140046,3,0,0,0,False,1146031853,0
