@relation 'wagtail'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,2,2,3,0,27,0,0,0,0,0,0,0,0,False,1390393643,0
False,1,11,28,1.032956363,11242,0,0,0,0,0,1,1,0,True, 1390563731,2
False,1,1,2,0,1,1,69,1,0.021741898,1,2,2,1,False,1390567488,0
False,1,1,1,0,0,0,9,1,1.15741E-05,1,3,3,2,False,1390567641,0
False,1,21,125,3.65656475,31040,1,0.256,1,0.001956944,1,4,4,3,True, 1390584866,2
False,1,11,28,1.032956363,11242,0,0,0,0,0,1,1,0,True,1390650131,3
False,1,12,33,4.164929346,991,7,12.33333333,1,0.354159301,2,5,5,4,True, 1390832027,2
False,1,8,22,3.518849637,567,3,5.090909091,1,0.010325126,1,6,6,5,True, 1390841840,2
False,1,4,9,2.356111311,276,1,8.111111111,1,0.000932356,1,7,7,6,True, 1390842565,1
False,1,14,38,4.276881856,1645,15,14.89473684,1,0.291071211,4,8,8,7,True, 1390912306,2
False,1,1,1,0,9,1,92,1,0.003518519,1,9,9,8,False,1390912610,0
False,1,2,2,0.503258335,9,9,50,2,0.004675926,1,1,1,0,False,1390925433,0
False,1,8,19,3.535700092,322,2,13.57894737,1,0.01984771,1,10,10,9,True, 1390928597,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1390928661,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1390929862,0
False,1,4,14,3.041556108,436,1,2.357142857,2,0.349142692,1,11,10.5,10,True, 1391007189,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391007206,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391007554,0
False,1,1,2,1,2,2,77.5,1,0.015740741,1,2,2,1,False,1391008549,0
False,1,14,37,4.285343202,1400,3,21.59459459,2,0.275951264,3,12,11.5,11,True, 1391012649,2
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391012780,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391014205,0
False,1,1,1,0,5,5,639,1,5.681122685,1,13,12.5,12,False,1391075715,0
False,1,1,1,0,1,1,31,1,5.682326389,1,14,13.5,13,False,1391075819,0
False,1,7,8,2.530493057,18,18,89.375,1,1.172552083,4,15,14.5,14,False,1391078744,0
False,1,2,2,0.721928095,5,5,435.5,1,2.859351852,2,16,15.5,15,True, 1391078853,1
False,1,1,1,0,1,1,138,1,5.919259259,1,17,16.5,16,False,1391078912,0
False,1,1,1,0,5,5,701,1,0.767453704,1,18,17.5,17,True, 1391078957,1
False,1,1,1,0,2,2,67,1,5.719953704,1,19,18.5,18,False,1391079070,0
False,1,1,2,1,2,2,60,1,5.720902778,1,20,19.5,19,False,1391079152,0
False,1,1,1,0,2,2,12,1,1.15741E-05,1,21,20.5,20,False,1391081064,0
False,1,1,1,0,1,1,75,1,1.955092593,1,22,21.5,21,False,1391081226,0
False,1,1,1,0,1,1,242,1,0.795972222,1,23,22.5,22,False,1391081421,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391081464,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391082964,0
False,1,2,2,1,2,2,670,1,0.172407407,2,24,23.5,23,False,1391092232,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391092281,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391092390,0
False,1,4,4,1.725116519,23,11,45.25,2,5.965335648,2,25,22,24,False,1391440535,0
False,1,1,1,0,13,0,0,0,0,0,3,3,0,True, 1391447686,2
False,1,1,1,0,1,1,12,1,0.008055556,1,4,4,1,False,1391448382,0
False,1,1,1,0,0,7,241,1,7.034363426,1,26,21,25,False,1391520075,0
False,1,5,6,0.873820027,214,68,111.6666667,1,8.804809028,2,0,0,0,False,1391596546,0
False,1,19,56,4.014036929,247,176,76.10714286,2,9.03026393,10,1,1,0,True, 1391598609,1
False,1,3,3,1.584962501,3,3,561.6666667,2,0.001377315,1,2,2,1,False,1391598728,0
False,1,7,11,2.300034345,195,161,210,2,3.203234428,4,3,3,2,False,1391598738,0
False,1,3,4,1.715770674,20,4,295.25,2,0.000428241,1,4,4,3,False,1391598775,0
False,1,4,4,1.766323653,36,26,432.25,2,0.000376157,2,5,5,4,False,1391598789,0
False,1,1,1,0,4,1,745,2,0.004456019,1,6,6,5,False,1391599174,0
False,1,3,3,1.521928095,3,2,241.6666667,2,0.007893519,2,7,7,6,False,1391599351,0
False,1,3,3,1.521928095,3,2,416.6666667,2,0.005123457,3,8,8,7,True, 1391599359,1
False,1,1,1,0,1,0,639,2,0.005046296,1,9,9,8,False,1391599795,0
False,1,5,6,1.538131523,65,12,254.3333333,2,1.968950617,4,10,10,9,False,1391599891,0
False,1,3,3,1.309296668,8,3,526.6666667,2,0.002156636,2,11,11,10,False,1391599900,0
False,1,16,42,4.854081216,139,183,66.5,3,0.212559248,8,12,12,11,False,1391601177,0
False,1,2,2,0.787126586,13,4,411,2,0.000347222,1,13,13,12,False,1391601207,0
False,1,4,4,1.75,8,8,291.75,2,4.220685764,3,14,14,13,False,1391601354,0
False,1,1,1,0,2,1,660,2,0.002152778,1,15,15,14,False,1391601363,0
False,1,2,2,0.764204507,7,2,346.5,2,5.884635417,2,16,16,15,False,1391601547,0
False,1,9,14,2.761890531,67,137,164.6428571,2,4.255509259,7,17,17,16,False,1391601864,0
False,1,1,1,0,1,1,13,2,0.000451389,1,18,18,17,False,1391601903,0
False,1,1,1,0,0,1,285,2,0.000717593,1,19,19,18,False,1391601926,0
False,1,8,8,1.46228025,147,114,291.625,3,0.987044271,4,20,20,19,True, 1391602241,2
False,1,3,6,2.244173452,16,21,167,2,0.017361111,3,21,21,20,False,1391602454,0
False,1,11,15,3.51797689,209,111,198.6,2,4.143135031,10,22,22,21,False,1391602760,0
False,1,2,2,0.721928095,4,1,418.5,2,0.000150463,1,23,23,22,False,1391602773,0
False,1,6,8,2.162041037,167,88,49.75,3,3.441280382,7,24,24,23,False,1391603175,0
False,1,1,1,0,69,56,823,2,0.004849537,1,25,25,24,False,1391603192,0
False,1,4,4,1.639075419,30,14,321.25,2,0.003897569,2,26,26,25,False,1391603353,0
False,1,3,3,1.148834854,11,3,426,2,0.001678241,1,27,27,26,False,1391603498,0
False,1,4,6,1.892157564,13,25,248.1666667,2,3.948121142,4,28,28,27,False,1391603739,0
False,1,5,13,3.149488518,127,46,301.3076923,2,1.823306624,5,29,29,28,False,1391603922,0
False,1,1,1,0,1,1,669,2,0.000127315,1,30,30,29,False,1391603933,0
False,1,9,19,3.291394037,118,19,33.26315789,2,0.643846857,7,31,31,30,False,1391604558,0
False,1,5,5,2.235926351,7,7,313.2,3,0.014532407,3,32,32,31,False,1391605006,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391606919,0
False,1,1,1,0,2,0,0,0,0,0,33,33,0,False,1391607936,0
False,1,6,14,2.900386902,119,96,226,3,1.772189153,9,34,34,32,False,1391613240,0
False,1,3,3,1.13346714,36,15,299,2,0.005046296,1,35,35,33,False,1391613894,0
False,1,4,4,1.254734552,32,15,323.5,2,3.014646991,3,36,36,34,False,1391616939,0
False,1,3,3,0.558777016,34,7,521,2,0.027731481,2,37,37,35,False,1391618102,0
False,1,1,1,0,7,2,639,1,6.114733796,1,27,20.33333333,26,True, 1391620545,2
False,1,3,4,1.760964047,14,6,629.25,2,0.13551794,3,38,38,36,False,1391622127,0
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1391679452,0
False,1,3,20,3.66994903,174,100,102.15,3,9.088619792,11,0,0,0,True, 1391685828,2
False,1,3,14,2.864595245,42,11,90,1,12.23795635,4,1,1,0,True, 1391686412,1
False,1,2,7,2.240904012,25,17,53.71428571,2,9.890717593,1,2,2,1,False,1391686585,0
False,1,3,8,2.435150645,37,21,22,1,8.776412037,1,3,3,2,True, 1391686879,2
False,1,3,10,2.612218142,47,25,90.8,2,8.264630787,2,4,4,3,True, 1391687147,2
False,1,1,1,0,1,0,9,2,0.003622685,1,5,5,4,False,1391687192,0
False,1,3,8,2.29810932,67,52,300,3,2.314308449,4,39,39,37,False,1391687479,0
False,1,1,5,2.17353321,13,11,39.8,3,7.86806713,2,6,6,5,False,1391687534,0
False,1,4,14,3.507248359,46,33,60.78571429,2,7.775042989,2,7,7,6,False,1391689325,0
False,1,2,5,1.863596538,27,6,65,1,9.810625,1,8,8,7,False,1391689478,0
False,1,2,3,0.848765405,23,11,54,3,9.48724537,2,9,9,8,True, 1391689751,1
False,1,2,2,0.876716289,4,23,86,2,3.96244213,2,10,10,9,False,1391690612,0
False,1,1,3,0.922855439,33,34,144.3333333,2,10.89746142,2,11,11,10,False,1391691069,0
False,1,1,1,0,1,1,701,2,6.97525463,1,40,40,38,True, 1391694894,2
