@relation 'zulip'

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric
@attribute commit_type numeric
@data
False,1,1,1,0,142,0,0,0,0,0,0,0,0,False,1346172110,0
False,1,1,1,0,11,0,0,0,0,0,1,1,0,False,1346172198,0
False,3,3,14,2.759855392,519,0,0,0,0,0,0,0,0,True, 1346172291,2
False,1,1,1,0,21,6,123,1,0.000115741,1,1,1,0,False,1346172301,0
False,1,1,1,0,31,24,138,1,5.78704E-05,1,2,2,1,False,1346172306,0
False,1,1,1,0,6,6,145,1,0.000115741,1,4,4,2,False,1346172316,0
False,1,1,1,0,44,21,145,1,4.62963E-05,1,5,5,3,True, 1346172320,2
False,1,1,1,0,9,3,168,1,4.62963E-05,1,6,6,4,True, 1346172324,2
False,1,1,1,0,4,10,159,1,0.000474537,1,8,8,0,False,1346172332,0
False,1,1,1,0,10,0,0,0,0,0,9,9,0,True, 1346172335,1
False,1,1,1,0,2,0,0,0,0,0,0,0,0,False,1346180222,0
False,1,2,6,1.290891342,8715,0,0,0,0,0,2,1,0,True, 1346180239,2
False,1,1,1,0,14,0,9,1,0.098252315,1,1,1,0,False,1346180780,0
False,1,1,1,0,2,0,23,2,0.000173611,1,3,3,1,False,1346180795,0
False,3,4,5,1.65707913,52,13,99.4,1,0.112865741,4,10,10,2.666666667,True, 1346182062,2
False,1,1,1,0,4,0,23,1,1.15741E-05,1,4,4,0,True, 1346182292,2
False,1,1,4,1.673992109,47,6,15.25,2,0.108668981,2,5,5,2,False,1346183806,0
False,1,1,1,0,4,0,192,2,1.15741E-05,1,6,6,3,False,1346184250,0
False,2,2,2,0.989587521,12,13,24.5,2,0.00416088,1,7,7,2.5,False,1346184525,0
False,3,3,3,1.071215457,44,14,108.3333333,1,0.080578704,2,11,11,3.666666667,False,1346185767,0
False,1,1,2,0.918295834,3,3,116.5,3,0.031892361,2,8,8,5,False,1346187143,0
False,2,4,6,1.592513293,438,42,78.66666667,3,0.009822531,4,6,2,1.5,True, 1346187381,2
False,1,1,1,0,15,0,0,0,0,0,13,13,4,False,1346187392,0
False,1,1,1,0,2,2,53,1,0.062534722,1,14,14,5,False,1346187465,0
False,2,2,2,1,4,4,166,1,0.029890046,2,2,2,0,False,1346189525,0
False,1,1,1,0,10,8,190,2,0.003854167,1,3,3,1,False,1346189858,0
False,1,1,1,0,1,0,142,2,0.006238426,1,16,16,7,False,1346190064,0
False,2,2,5,2.255888241,82,41,58.2,3,0.0938125,3,9,9,4,False,1346193390,0
False,1,1,1,0,26,0,6,2,0.123888889,1,10,10,7,False,1346194510,0
False,2,2,2,0.273769169,49,36,118,3,0.020451389,1,11,11,5.5,False,1346195157,0
False,2,2,2,0.999927381,149,150,113.5,3,0.335555556,1,5,5,2,False,1346253141,0
False,2,2,4,1.835237745,14,0,24,2,0.535807292,1,12,12,6.5,True, 1346255115,1
False,1,1,1,0,3,1,28,2,0.001851852,1,13,13,10,False,1346255275,0
False,1,1,2,0.281193796,34,7,34.5,1,0.7834375,2,19,19,10,False,1346255444,0
False,1,1,1,0,18,18,78,3,0.030902778,1,14,14,11,False,1346255811,0
False,2,2,2,0.764204507,15,3,50,3,0.361006944,2,15,15,8.5,False,1346256675,0
False,2,3,3,1.483659164,25,9,89.66666667,3,0.008229167,2,16,16,9.5,False,1346257741,0
False,3,3,14,2.759855392,519,0,0,0,0,0,0,0,0,True,1346258691,3
False,1,2,2,0.235193382,18,8,146,2,0.056649306,2,20,20,11,True, 1346259183,2
False,2,3,3,1.512644748,23,3,95,3,0.018020833,1,17,17,10.5,False,1346259298,0
False,2,2,2,0.918295834,2,1,127,3,0.050266204,1,18,18,11.5,False,1346263641,0
False,1,1,1,0,5,3,179,3,0.018912037,1,21,21,10,False,1346266651,0
False,2,2,2,1,2,2,134,3,0.019953704,2,22,22,14.5,False,1346267695,0
False,3,4,5,1.65707913,52,13,99.4,1,0.112865741,4,10,10,2.666666667,True,1346268462,3
False,1,1,1,0,1,1,87,3,0.010115741,1,23,23,19,False,1346268569,0
False,1,1,1,0,6,12,53,2,0.043194444,1,24,24,20,False,1346268749,0
False,1,1,1,0,0,1,181,3,0.017766204,1,25,25,12,False,1346269230,0
False,1,1,1,0,9,0,183,3,0.008715278,1,27,27,14,False,1346270546,0
False,2,2,2,0.554778163,28,3,142.5,3,0.019288194,2,28,28,18.5,True, 1346271836,2
False,1,1,1,0,1,1,215,3,0.004918981,1,29,29,16,False,1346272261,0
False,1,1,1,0,2,2,32,2,0.908171296,1,30,30,23,False,1346272976,0
False,2,2,2,0.811278124,6,2,155,3,0.014172454,2,21,21,10,False,1346273273,0
False,2,3,3,1.567711658,19,8,123,3,0.038993056,3,31,31,20.5,False,1346274198,0
False,1,1,1,0,9,1,219,3,0.014155093,1,22,22,13,False,1346274496,0
False,1,1,1,0,1,0,227,3,0.000891204,1,23,23,14,False,1346274573,0
False,1,1,1,0,9,0,228,3,0.013298611,1,32,32,18,False,1346275347,0
False,1,1,1,0,1,1,228,3,0.009664352,1,24,24,15,False,1346275408,0
False,1,1,1,0,1089,0,0,0,0,0,33,33,19,False,1346340275,0
False,2,2,2,0.650022422,6,0,168.5,3,0.886082176,2,34,34,22.5,False,1346340495,0
False,1,1,1,0,1,0,119,3,1.15741E-05,1,25,25,16,False,1346342638,0
False,3,3,5,1.497137421,71,3,74.4,3,0.35956713,4,26,26,9.666666667,True, 1346342675,2
False,2,3,3,0.785151578,37,2,133.3333333,3,0.294675926,2,35,35,23.5,False,1346343856,0
False,1,2,2,0.235193382,18,8,146,2,0.056649306,2,20,20,11,True,1346345583,3
False,2,3,4,1.72275377,24,33,158,3,0.969403935,2,36,36,24.5,False,1346349375,0
False,3,3,3,0.865403851,52,1,78.66666667,3,0.080196759,1,27,27,10.66666667,True, 1346349604,2
False,1,2,2,0.955931264,25,36,145,3,0.558043981,2,28,28,19,True, 1346350739,2
False,1,1,1,0,28,18,279,3,0.019606481,1,37,37,23,True, 1346351069,1
False,1,1,1,0,6,2,205,3,0.011759259,1,29,29,20,True, 1346351755,2
False,1,1,1,0,1,1,95,3,0.898368056,1,7,7,3,False,1346351817,0
False,1,2,2,0.876716289,26,1,176,3,0.091359954,2,38,38,24,True, 1346355356,2
False,1,1,1,0,3,3,142,3,0.088252315,1,39,39,25,False,1346357000,0
False,1,1,1,0,1,0,335,4,0.004699074,1,2,2,1,True, 1346361591,2
False,1,1,1,0,3,1,120,3,0.226805556,1,30,30,21,True, 1346362271,2
False,1,1,1,0,0,2,122,3,0.006469907,1,31,31,22,False,1346362830,0
False,1,1,1,0,11,4,336,4,0.01681713,1,3,3,2,True, 1346363044,2
False,1,1,1,0,1,1,352,4,1.15741E-05,1,40,40,26,False,1346372636,0
False,1,1,1,0,4,2,120,3,0.688113426,1,32,32,23,False,1346422283,0
False,1,2,2,0.936667382,14,20,98,3,0.44650463,2,33,33,24,True, 1346425089,2
False,1,1,1,0,24,15,343,4,0.7265625,1,4,4,3,True, 1346425819,2
False,1,1,2,0.67694187,28,0,0,0,0,0,8,8,0,False,1346435172,0
False,1,1,1,0,199,10,16,1,3.06,1,35,35,26,True, 1346436675,2
False,1,2,2,0.955931264,25,36,145,3,0.558043981,2,28,28,19,True,1346437139,3
False,1,1,1,0,1,1,352,4,0.148263889,1,5,5,4,True, 1346438629,2
False,1,1,1,0,5,6,352,4,0.776203704,1,41,41,27,True, 1346439700,2
False,1,1,1,0,2,2,362,4,1.15741E-05,1,10,10,4,False,1346440882,0
False,2,3,3,1.377419095,38,4,172.3333333,4,0.721531636,3,42,42,28,False,1346441584,0
False,1,2,2,0.876716289,26,1,176,3,0.091359954,2,38,38,24,True,1346441756,3
False,1,1,1,0,20,26,362,4,0.018958333,1,11,11,5,False,1346442520,0
False,1,1,1,0,19,0,0,0,0,0,43,43,0,False,1346444686,0
False,2,2,2,0.764204507,18,18,205,4,0.558512731,2,44,44,29,False,1346446114,0
False,2,4,6,1.592513293,438,42,78.66666667,3,0.009822531,4,6,2,1.5,True,1346446581,3
False,1,1,1,0,1,0,335,4,0.004699074,1,2,2,1,True,1346447991,3
False,1,1,1,0,11,4,336,4,0.01681713,1,3,3,2,True,1346449444,3
False,1,1,1,0,41,53,355,4,1.15741E-05,1,13,12,7,True, 1346449931,2
False,1,1,1,0,1,2,356,4,0.090011574,1,12,12,6,False,1346450297,0
False,1,1,1,0,24,15,343,4,0.7265625,1,4,4,3,True,1346512219,3
False,1,1,1,0,44,21,145,1,4.62963E-05,1,5,5,3,True,1346517920,3
False,1,1,1,0,9,3,168,1,4.62963E-05,1,6,6,4,True,1346517924,3
False,1,1,1,0,5,6,352,4,0.776203704,1,41,41,27,True,1346526100,3
False,2,2,2,0.554778163,28,3,142.5,3,0.019288194,2,28,28,18.5,True,1346531036,3
False,1,1,1,0,28,23,347,4,1.15741E-05,1,14,14,8,True, 1346770608,2
False,1,1,1,0,11,0,0,0,0,0,45,45,30,False,1346771336,0
False,1,1,1,0,1,0,352,4,0.016990741,1,15,15,9,False,1346772076,0
False,2,3,3,1.158938532,15,0,194,4,4.505007716,3,37,37,16.5,False,1346772996,0
False,1,1,1,0,1,1,347,4,0.001087963,1,38,38,29,False,1346773090,0
False,1,1,1,0,1,0,219,3,0.001805556,1,39,39,30,False,1346773152,0
False,2,2,2,0.566509507,8,7,223,4,1.902916667,2,16,16,7,False,1346773562,0
False,2,3,3,0.938418736,35,36,149,4,0.015779321,1,46,46,30.5,True, 1346775607,2
False,1,1,1,0,3,4,335,4,0.011076389,1,47,47,32,False,1346776564,0
False,3,4,4,1.423794941,2,14,169.25,4,0.028012153,4,49,48,22,False,1346777145,0
False,1,1,1,0,2,2,334,4,0.006793981,1,48,48,33,False,1346777151,0
False,1,1,1,0,16,4,62,1,4.144861111,1,40,35,31,True, 1346783205,1
False,1,2,4,1.907199671,18,18,158.25,4,2.118206019,4,17,16,11,True, 1346790126,1
False,1,3,3,1.378783493,5,2,69.33333333,2,1.445794753,3,18,17,12,True, 1346790716,2
False,1,1,1,0,3,3,226,4,1.15741E-05,1,19,17,13,False,1346793690,0
False,3,4,5,0.901674127,30,39,186.8,4,0.104902778,4,21,17,7,False,1346795036,0
False,1,1,1,0,4,4,226,4,0.101851852,1,11,11,9,False,1346798926,0
False,1,1,1,0,1,0,226,4,0.076331019,1,20,17,14,False,1346800285,0
False,1,3,3,1.260771794,16,1,164,4,1.446790123,2,23,20,17,True, 1346801278,2
False,2,5,8,2.206181275,443,11,1.375,2,0.892118056,1,50,44,0,False,1346804750,0
False,1,1,1,0,1,0,227,4,0.707743056,1,24,21,18,False,1346854770,0
False,1,1,1,0,1,1,5,1,7.899861111,1,12,12,10,False,1346854839,0
False,1,1,1,0,1,3,159,4,1.15741E-05,1,25,22,19,False,1346855041,0
False,1,1,1,0,2,2,403,4,1.15741E-05,1,26,23,20,False,1346855186,0
False,1,1,1,0,3,9,403,4,0.003668981,1,27,24,21,False,1346855503,0
False,1,1,1,0,22,22,37,1,0.590405093,1,52,46,1,False,1346855761,0
False,1,1,1,0,3,2,158,3,0.724293981,1,13,13,11,False,1346856200,0
False,1,1,1,0,1,1,386,4,0.645150463,1,14,14,12,False,1346857019,0
