learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,vote for class 0,vote for class 1,training queue size,recall0 Validation,recall1 Validation,time stamp,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,1.0,0.0,0.0,0.0,-Infinity,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293840523E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,2.0,0.0,0.0,-101.010101010101,-Infinity,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293853015E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,3.0,0.0,0.0,-203.04050607080916,-Infinity,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293857524E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,4.0,0.0,0.0,-306.10152128364564,-Infinity,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294097284E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,5.0,0.0,0.0,-410.203556852167,-Infinity,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294112356E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,6.0,17.08821860897041,0.0,-148.69348053049754,-385.1985059900001,1.0,5.0,100.0,0.0,0.0,100.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.294112468E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,7.0,29.292856277168706,0.0,-148.6934805304975,-141.380161271407,2.0,5.0,100.0,0.0,0.0,100.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.294112677E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,8.0,25.501161187717763,0.0,-97.63405815347991,-192.13900600010098,2.0,6.0,100.0,0.0,0.0,100.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.294112863E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,9.0,22.552462118166993,0.0,-132.31962334046293,-243.41056633211497,2.0,7.0,100.0,0.0,0.0,100.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.294188041E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,10.0,30.652150318780464,0.0,-72.04282809843191,-126.24138587344169,3.0,7.0,100.0,0.0,0.0,100.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.294188502E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
